,upz,nomupz,personas,trabajoinf_ninos_5_17_anos_perc,trabajoinfampliado_ninos_5_17_anos_perc,jovenes_14_24_anos_nini_perc,indice_envegecimiento,jefe_mujer_perc,adultos_mayores_pobres_perc
84,UPZ20,LA ALHAMBRA,91513,0.0,1.6,4.3,140.8,39.74132098058606,1.0349900178627718
85,UPZ2,LA ACADEMIA,66427,0.2,17.6,11.2,52.0,38.07481204741479,3.6317259808089397
86,UPZ3,GUAYMARAL,66427,0.2,17.6,11.2,52.0,38.07481204741479,3.6317259808089397
87,UPZ17,SAN JOSE DE BAVARIA,66427,0.2,17.6,11.2,52.0,38.07481204741479,3.6317259808089397
88,UPZ103,PARQUE SALITRE,121977,0.5,4.4,9.4,76.0,42.4705500417401,8.523341396880951
89,UPZ22,DOCE DE OCTUBRE,121977,0.5,4.4,9.4,76.0,42.4705500417401,8.523341396880951
90,UPZ104,PARQUE SIMON BOLIVAR - CAN,26685,0.6,25.1,4.1,144.6,31.73779315647828,2.498345466578425
91,UPZ106,LA ESMERALDA,26685,0.6,25.1,4.1,144.6,31.73779315647828,2.498345466578425
92,UPZ108,ZONA INDUSTRIAL,18183,1.7,17.2,18.9,51.5,39.68231456530989,20.983213429256594
93,UPZ111,PUENTE ARANDA,18183,1.7,17.2,18.9,51.5,39.68231456530989,20.983213429256594
94,UPZ31,SANTA CECILIA,90943,0.0,5.3,7.1,76.6,35.81118751161494,7.638132578232774
95,UPZ116,ALAMOS,90943,0.0,5.3,7.1,76.6,35.81118751161494,7.638132578232774
96,UPZ105,JARDIN BOTANICO,90943,0.0,5.3,7.1,76.6,35.81118751161494,7.638132578232774
97,UPZ59,ALFONSO LOPEZ,81261,0.6,2.5,30.0,16.7,45.95177822965514,46.478873239436616
98,UPZ61,CIUDAD USME,81261,0.6,2.5,30.0,16.7,45.95177822965514,46.478873239436616
99,UPZ60,PARQUE ENTRENUBES,40778,1.3,14.5,27.7,15.9,35.555026580972786,31.785095320623917
100,UPZ56,DANUBIO,40778,1.3,14.5,27.7,15.9,35.555026580972786,31.785095320623917
101,UPZ117,AEROPUERTO EL DORADO,22285,0.7,9.3,11.1,34.7,38.016304347826086,7.84688995215311
102,UPZ115,CAPELLANIA,22285,0.7,9.3,11.1,34.7,38.016304347826086,7.84688995215311
103,UPZ93,LAS NIEVES,17226,3.5,125.7,9.9,133.3,44.33803929311877,9.697344039530574
104,UPZ91,SAGRADO CORAZON,17226,3.5,125.7,9.9,133.3,44.33803929311877,9.697344039530574
105,UPZ64,MONTE BLANCO,63145,1.8,8.5,25.3,16.9,46.14774810484071,44.98594189315839
106,UPZ68,EL TESORO,63145,1.8,8.5,25.3,16.9,46.14774810484071,44.98594189315839
107,UPZ63,EL MOCHUELO,63145,1.8,8.5,25.3,16.9,46.14774810484071,44.98594189315839
108,UPZ90,PARDO RUBIO,53837,0.0,30.2,8.2,81.4,47.033691863733466,5.814843152257077
109,UPZ99,CHAPINERO,53837,0.0,30.2,8.2,81.4,47.033691863733466,5.814843152257077
110,UPZ97,CHICO LAGO,52951,0.0,17.0,4.3,153.4,44.66781543174421,5.401917404129794
111,UPZ88,EL REFUGIO,52951,0.0,17.0,4.3,153.4,44.66781543174421,5.401917404129794
