,UPlCodigo,UPlNombre2,indice_inseguridad
54,UPZ18,BRITALIA,2.52707581227
55,UPZ26,LAS FERIAS,1.93704600484
56,UPZ115,CAPELLANIA,4.52261306533
57,UPZ50,LA GLORIA,5.26315789474
58,UPZ60,PARQUE ENTRENUBES,0.0
59,UPZ20,LA ALHAMBRA,2.58064516129
60,UPZ79,CALANDAIMA,4.07239819005
61,UPZ12,TOBERIN,3.16622691293
62,UPZ10,LA URIBE,8.97959183673
63,UPZ59,ALFONSO LOPEZ,4.80769230769
64,UPZ58,COMUNEROS,10.63122923588
65,UPZ43,SAN RAFAEL,2.7272727272800004
66,UPZ47,KENNEDY CENTRAL,0.5076142132
67,UPZ48,TIMIZA,2.33009708738
68,UPZ113,BAVARIA,3.61990950226
69,UPZ44,AMERICAS,1.83673469387
70,UPZ13,LOS CEDROS,0.78226857888
71,UPZ70,JERUSALEM,7.83582089552
72,UPZ36,SAN JOSE,2.6402640264
73,UPZ66,SAN FRANCISCO,2.18579234973
74,UPZ57,GRAN YOMASA,5.38922155689
75,UPZ52,LA FLORA,31.99999999997
76,UPZ52,LA FLORA,31.99999999997
77,UPZ11,SAN CRISTOBAL NORTE,0.0
78,UPZ14,USAQUEN,2.50521920668
79,UPZ73,GARCES NAVAS,4.58404074703
80,UPZ74,ENGATIVA,2.14669051878
81,UPZ25,LA FLORESTA,1.76991150442
82,UPZ97,CHICO LAGO,2.0477815699699997
83,UPZ98,LOS ALCAZARES,0.65445026178
84,UPZ96,LOURDES,2.55102040816
85,UPZ92,LA MACARENA,19.04761904766
86,UPZ94,LA CANDELARIA,3.38345864662
87,UPZ9,VERBENAL,3.3163265306199996
88,UPZ28,EL RINCON,0.88365243004
89,UPZ30,BOYACA REAL,0.93131548312
90,UPZ116,ALAMOS,5.73476702509
91,UPZ35,CIUDAD JARDIN,1.89873417722
92,UPZ38,RESTREPO,0.72463768116
93,UPZ41,MUZU,2.24089635855
94,UPZ40,CIUDAD MONTES,0.65963060686
95,UPZ34,20 DE JULIO,2.12765957447
96,UPZ84,BOSA OCCIDENTAL,1.06723585912
97,UPZ85,BOSA CENTRAL,1.9480519480499998
98,UPZ32,SAN BLAS,5.14018691589
99,UPZ95,LAS CRUCES,1.35135135136
100,UPZ87,TINTAL SUR,9.40594059406
101,UPZ1,PASEO DE LOS LIBERTADORES,74.1176470588
102,UPZ46,CASTILLA,1.43884892086
103,UPZ112,GRANJAS DE TECHO,11.15702479334
104,UPZ78,TINTAL NORTE,19.44444444448
105,UPZ117,AEROPUERTO EL DORADO,9.0
106,UPZ77,ZONA FRANCA,35.849056603760005
107,UPZ54,MARRUECOS,1.66666666667
108,UPZ39,QUIROGA,0.62344139651
109,UPZ62,TUNJUELITO,1.88087774295
110,UPZ53,MARCO FIDEL SUAREZ,1.09289617486
111,UPZ69,ISMAEL PERDOMO,1.6286644951100002
112,UPZ61,CIUDAD USME,45.833333333300004
113,UPZ42,VENECIA,2.96735905045
114,3,UPR RIO TUNJUELO,80.0
115,4,UPR RIO BLANCO,0.0
116,5,UPR RIO SUMAPAZ,0.0
117,1,UPR ZONA NORTE,97.9166666667
