"UPlCodigo","UPlTipo","UPlNombre","UPlArea","pro_location"
"UPZ27",1,"SUBA",6529011.30738,"las flores"
"UPZ27",1,"SUBA",6529011.30738,"tuna"
"UPZ27",1,"SUBA",6529011.30738,"tuna baja"
"UPZ27",1,"SUBA",6529011.30738,"acacias"
"UPZ27",1,"SUBA",6529011.30738,"suba"
"UPZ27",1,"SUBA",6529011.30738,"tibabuyes ii"
"UPZ27",1,"SUBA",6529011.30738,"tibabuyes"
"UPZ27",1,"SUBA",6529011.30738,"pinos de lombardia"
"UPZ27",1,"SUBA",6529011.30738,"portal de las mercedes"
"UPZ72",1,"BOLIVIA",4745041.59406,"bochica ii"
"UPZ72",1,"BOLIVIA",4745041.59406,"bolivia"
"UPZ72",1,"BOLIVIA",4745041.59406,"los cedros"
"UPZ72",1,"BOLIVIA",4745041.59406,"los naranjos"
"UPZ72",1,"BOLIVIA",4745041.59406,"naranjos"
"UPZ72",1,"BOLIVIA",4745041.59406,"los cerezos"
"UPZ72",1,"BOLIVIA",4745041.59406,"ciudadela real"
"UPZ15",1,"COUNTRY CLUB",2856068.35551,"la carolina"
"UPZ15",1,"COUNTRY CLUB",2856068.35551,"calleja"
"UPZ15",1,"COUNTRY CLUB",2856068.35551,"la calleja"
"UPZ16",1,"SANTA BARBARA",4586983.20974,"molinos norte"
"UPZ16",1,"SANTA BARBARA",4586983.20974,"campo alegre"
"UPZ16",1,"SANTA BARBARA",4586983.20974,"chico navarra"
"UPZ16",1,"SANTA BARBARA",4586983.20974,"el porvenir"
"UPZ16",1,"SANTA BARBARA",4586983.20974,"san patricio"
"UPZ16",1,"SANTA BARBARA",4586983.20974,"santa barbara occidental"
"UPZ16",1,"SANTA BARBARA",4586983.20974,"santa barbara central-usaquén"
"UPZ21",1,"LOS ANDES",2748166.45782,"entrerios"
"UPZ21",1,"LOS ANDES",2748166.45782,"la castellana"
"UPZ21",1,"LOS ANDES",2748166.45782,"rionegro"
"UPZ21",1,"LOS ANDES",2748166.45782,"andes norte"
"UPZ21",1,"LOS ANDES",2748166.45782,"los andes norte"
"UPZ89",1,"SAN ISIDRO - PATIOS",1130182.3434,"san luis"
"UPZ106",1,"LA ESMERALDA",1928784.82398,"florencia"
"UPZ106",1,"LA ESMERALDA",1928784.82398,"nicolás de federmán"
"UPZ106",1,"LA ESMERALDA",1928784.82398,"nicolas de federman"
"UPZ106",1,"LA ESMERALDA",1928784.82398,"paulo vi"
"UPZ86",1,"EL PORVENIR",4610321.21294,"la cabaña"
"UPZ82",1,"PATIO BONITO",3173216.61524,"los cedros oriental"
"UPZ82",1,"PATIO BONITO",3173216.61524,"santa sofia"
"UPZ82",1,"PATIO BONITO",3173216.61524,"jazmin"
"UPZ99",1,"CHAPINERO",1593025.3068,"marly"
"UPZ99",1,"CHAPINERO",1593025.3068,"quesada"
"UPZ99",1,"CHAPINERO",1593025.3068,"chapinero central"
"UPZ99",1,"CHAPINERO",1593025.3068,"chapinero norte"
"UPZ99",1,"CHAPINERO",1593025.3068,"lourdes"
"UPZ99",1,"CHAPINERO",1593025.3068,"conejera"
"UPZ99",1,"CHAPINERO",1593025.3068,"sucre"
"UPZ109",1,"CIUDAD SALITRE ORIENTAL",1805296.56927,
"UPZ90",1,"PARDO RUBIO",2851990.05156,"bosque calderon"
"UPZ90",1,"PARDO RUBIO",2851990.05156,"ingemar"
"UPZ90",1,"PARDO RUBIO",2851990.05156,"la salle"
"UPZ90",1,"PARDO RUBIO",2851990.05156,"emaus"
"UPZ90",1,"PARDO RUBIO",2851990.05156,"chapinero alto"
"UPZ33",1,"SOSIEGO",2349163.4485,"buenos aires"
"UPZ33",1,"SOSIEGO",2349163.4485,"san javier"
"UPZ33",1,"SOSIEGO",2349163.4485,"quinta ramos"
"UPZ33",1,"SOSIEGO",2349163.4485,"nariño sur"
"UPZ33",1,"SOSIEGO",2349163.4485,"calvo sur"
"UPZ111",1,"PUENTE ARANDA",3564474.29991,"salazar gomez"
"UPZ111",1,"PUENTE ARANDA",3564474.29991,"centro industrial"
"UPZ102",1,"LA SABANA",4509421.53879,"restrepo occidental"
"UPZ102",1,"LA SABANA",4509421.53879,"monterrey"
"UPZ102",1,"LA SABANA",4509421.53879,"la favorita"
"UPZ102",1,"LA SABANA",4509421.53879,"el liston"
"UPZ102",1,"LA SABANA",4509421.53879,"ricaurte"
"UPZ102",1,"LA SABANA",4509421.53879,"samper mendoza"
"UPZ102",1,"LA SABANA",4509421.53879,"colseguros"
"UPZ45",1,"CARVAJAL",4385930.05327,"venecia"
"UPZ45",1,"CARVAJAL",4385930.05327,"timiza"
"UPZ93",1,"LAS NIEVES",1725738.6015,"san victorino"
"UPZ93",1,"LAS NIEVES",1725738.6015,"la veracruz"
"UPZ93",1,"LAS NIEVES",1725738.6015,"veracruz"
"UPZ93",1,"LAS NIEVES",1725738.6015,"monaco"
"UPZ93",1,"LAS NIEVES",1725738.6015,"las nieves"
"UPZ93",1,"LAS NIEVES",1725738.6015,"villa mendoza"
"UPZ37",1,"SANTA ISABEL",2004626.73252,"eduardo santos"
"UPZ37",1,"SANTA ISABEL",2004626.73252,"la liberia"
"UPZ37",1,"SANTA ISABEL",2004626.73252,"santa isabel sur"
"UPZ37",1,"SANTA ISABEL",2004626.73252,"santa isabel"
"UPZ49",1,"APOGEO",2105837.33352,"olarte"
"UPZ49",1,"APOGEO",2105837.33352,"villa del rio"
"UPZ19",1,"EL PRADO",4334033.58117,"alcala"
"UPZ19",1,"EL PRADO",4334033.58117,"costa azul"
"UPZ19",1,"EL PRADO",4334033.58117,"santa helena"
"UPZ19",1,"EL PRADO",4334033.58117,"santa helena i"
"UPZ19",1,"EL PRADO",4334033.58117,"victoria norte"
"UPZ19",1,"EL PRADO",4334033.58117,"mazuren"
"UPZ24",1,"NIZA",7565952.98134,"niza sur"
"UPZ24",1,"NIZA",7565952.98134,"prado veraniego"
"UPZ24",1,"NIZA",7565952.98134,"prado veraniego sur"
"UPZ24",1,"NIZA",7565952.98134,"niza norte"
"UPZ24",1,"NIZA",7565952.98134,"niza"
"UPZ24",1,"NIZA",7565952.98134,"niza suba"
"UPZ24",1,"NIZA",7565952.98134,"niza cordoba"
"UPZ24",1,"NIZA",7565952.98134,"san jorge"
"UPZ24",1,"NIZA",7565952.98134,"las villas"
"UPZ24",1,"NIZA",7565952.98134,"la colina campestre"
"UPZ24",1,"NIZA",7565952.98134,"ciudad jardin norte"
"UPZ24",1,"NIZA",7565952.98134,"iberia"
"UPZ23",1,"CASA BLANCA SUBA",4204838.19457,"casablanca suba"
"UPZ110",1,"CIUDAD SALITRE OCCIDENTAL",2257012.53811,"la esperanza sur"
"UPZ104",1,"PARQUE SIMON BOLIVAR - CAN",3986842.65835,"teusaquillo"
"UPZ31",1,"SANTA CECILIA",3085797.67892,"normandia"
"UPZ31",1,"SANTA CECILIA",3085797.67892,"normandia occidental"
"UPZ31",1,"SANTA CECILIA",3085797.67892,"santa cecilia"
"UPZ31",1,"SANTA CECILIA",3085797.67892,"el encanto"
"UPZ31",1,"SANTA CECILIA",3085797.67892,"los monjes"
"UPZ31",1,"SANTA CECILIA",3085797.67892,"villa luz"
"UPZ68",1,"EL TESORO",2108622.10964,"san joaquin"
"UPZ64",1,"MONTE BLANCO",6956743.76728,
"UPZ71",1,"TIBABUYES",7263801.48869,"lisboa"
"UPZ71",1,"TIBABUYES",7263801.48869,"altos de suba"
"UPZ71",1,"TIBABUYES",7263801.48869,"chico reservado"
"UPZ29",1,"MINUTO DE DIOS",3732645.07687,"minuto de dios"
"UPZ29",1,"MINUTO DE DIOS",3732645.07687,"casa blanca"
"UPZ29",1,"MINUTO DE DIOS",3732645.07687,"paris gaitan"
"UPZ29",1,"MINUTO DE DIOS",3732645.07687,"el morisco"
"UPZ29",1,"MINUTO DE DIOS",3732645.07687,"paris"
"UPZ29",1,"MINUTO DE DIOS",3732645.07687,"el sol"
"UPZ29",1,"MINUTO DE DIOS",3732645.07687,"ciudad quirigua"
"UPZ29",1,"MINUTO DE DIOS",3732645.07687,"ciudad bachue i"
"UPZ29",1,"MINUTO DE DIOS",3732645.07687,"ciudad bachue"
"UPZ29",1,"MINUTO DE DIOS",3732645.07687,"maria cristina"
"UPZ29",1,"MINUTO DE DIOS",3732645.07687,"el palmar"
"UPZ76",1,"FONTIBON SAN PABLO",3599678.43163,"jerico"
"UPZ76",1,"FONTIBON SAN PABLO",3599678.43163,"el refugio"
"UPZ3",1,"GUAYMARAL",4536367.04291,
"UPZ80",1,"CORABASTOS",1845254.78991,"maria paz"
"UPZ67",1,"LUCERO",5863865.49887,"la alameda"
"UPZ63",1,"EL MOCHUELO",3167349.55971,
"UPZ55",1,"DIANA TURBAY",2114331.60976,"san miguel"
"UPZ55",1,"DIANA TURBAY",2114331.60976,"la paz"
"UPZ51",1,"LOS LIBERTADORES",3649394.85846,"la nueva gloria"
"UPZ56",1,"DANUBIO",2887408.65613,
"UPZ65",1,"ARBORIZADORA",3062641.90866,"arborizadora baja"
"UPZ65",1,"ARBORIZADORA",3062641.90866,"madelena ii y iv"
"UPZ2",1,"LA ACADEMIA",6720730.80488,"el seminario"
"UPZ17",1,"SAN JOSE DE BAVARIA",4382731.6295,"villa del prado"
"UPZ17",1,"SAN JOSE DE BAVARIA",4382731.6295,"nueva zelandia"
"UPZ17",1,"SAN JOSE DE BAVARIA",4382731.6295,"mirandela"
"UPZ18",1,"BRITALIA",3286562.31464,"cantalejo"
"UPZ18",1,"BRITALIA",3286562.31464,"gilmar"
"UPZ18",1,"BRITALIA",3286562.31464,"urbanizacion cordoba"
"UPZ18",1,"BRITALIA",3286562.31464,"jardines del norte"
"UPZ18",1,"BRITALIA",3286562.31464,"jardin del norte"
"UPZ18",1,"BRITALIA",3286562.31464,"granada norte"
"UPZ26",1,"LAS FERIAS",4733431.50688,"la estradita"
"UPZ26",1,"LAS FERIAS",4733431.50688,"la estrada"
"UPZ26",1,"LAS FERIAS",4733431.50688,"metropolis"
"UPZ26",1,"LAS FERIAS",4733431.50688,"las ferias occidental"
"UPZ26",1,"LAS FERIAS",4733431.50688,"las ferias"
"UPZ26",1,"LAS FERIAS",4733431.50688,"bonanza"
"UPZ26",1,"LAS FERIAS",4733431.50688,"bosque popular"
"UPZ26",1,"LAS FERIAS",4733431.50688,"el rolin"
"UPZ115",1,"CAPELLANIA",2721091.55246,"ferrocaja"
"UPZ115",1,"CAPELLANIA",2721091.55246,"urbanizacion el parque"
"UPZ50",1,"LA GLORIA",3858577.5934,"el pino"
"UPZ20",1,"LA ALHAMBRA",2847741.17529,"estoril"
"UPZ20",1,"LA ALHAMBRA",2847741.17529,"pasadena"
"UPZ20",1,"LA ALHAMBRA",2847741.17529,"puente largo"
"UPZ20",1,"LA ALHAMBRA",2847741.17529,"casa blanca suba"
"UPZ20",1,"LA ALHAMBRA",2847741.17529,"jorge cortes"
"UPZ20",1,"LA ALHAMBRA",2847741.17529,"el batan"
"UPZ20",1,"LA ALHAMBRA",2847741.17529,"batan"
"UPZ79",1,"CALANDAIMA",3189343.87072,"multifamiliares la paz"
"UPZ79",1,"CALANDAIMA",3189343.87072,"calandaima"
"UPZ79",1,"CALANDAIMA",3189343.87072,"santa fe del tintal"
"UPZ12",1,"TOBERIN",2906631.46859,"balcones de oriente"
"UPZ12",1,"TOBERIN",2906631.46859,"las orquideas"
"UPZ12",1,"TOBERIN",2906631.46859,"la primavera"
"UPZ12",1,"TOBERIN",2906631.46859,"pradera norte"
"UPZ12",1,"TOBERIN",2906631.46859,"la pradera"
"UPZ12",1,"TOBERIN",2906631.46859,"villa magdala"
"UPZ12",1,"TOBERIN",2906631.46859,"toberin"
"UPZ10",1,"LA URIBE",3452642.542,"san diego"
"UPZ10",1,"LA URIBE",3452642.542,"canapro"
"UPZ10",1,"LA URIBE",3452642.542,"el redil"
"UPZ59",1,"ALFONSO LOPEZ",2164934.29751,"alfonso lopez"
"UPZ58",1,"COMUNEROS",4930356.19032,"comuneros"
"UPZ58",1,"COMUNEROS",4930356.19032,"la española"
"UPZ58",1,"COMUNEROS",4930356.19032,"el plan"
"UPZ43",1,"SAN RAFAEL",3293127.13782,"milenta"
"UPZ43",1,"SAN RAFAEL",3293127.13782,"provivienda norte"
"UPZ43",1,"SAN RAFAEL",3293127.13782,"galan"
"UPZ43",1,"SAN RAFAEL",3293127.13782,"puente aranda"
"UPZ43",1,"SAN RAFAEL",3293127.13782,"colon"
"UPZ43",1,"SAN RAFAEL",3293127.13782,"la trinidad"
"UPZ47",1,"KENNEDY CENTRAL",3372133.95794,"ciudad techo"
"UPZ48",1,"TIMIZA",4304383.14853,"los angeles"
"UPZ48",1,"TIMIZA",4304383.14853,"el progreso"
"UPZ48",1,"TIMIZA",4304383.14853,"la chucua"
"UPZ48",1,"TIMIZA",4304383.14853,"santa catalina"
"UPZ48",1,"TIMIZA",4304383.14853,"el rubi"
"UPZ48",1,"TIMIZA",4304383.14853,"lago timiza i"
"UPZ48",1,"TIMIZA",4304383.14853,"timiza a"
"UPZ113",1,"BAVARIA",2772278.9458,"aloha sector sur"
"UPZ113",1,"BAVARIA",2772278.9458,"bosque de modelia"
"UPZ113",1,"BAVARIA",2772278.9458,"lusitania"
"UPZ113",1,"BAVARIA",2772278.9458,"jardin botanico"
"UPZ113",1,"BAVARIA",2772278.9458,"bavaria"
"UPZ44",1,"AMERICAS",3809694.02333,"villa claudia"
"UPZ44",1,"AMERICAS",3809694.02333,"la isabela"
"UPZ44",1,"AMERICAS",3809694.02333,"la triguera"
"UPZ44",1,"AMERICAS",3809694.02333,"la igualdad"
"UPZ44",1,"AMERICAS",3809694.02333,"hipotecho"
"UPZ44",1,"AMERICAS",3809694.02333,"hipotecho ii"
"UPZ44",1,"AMERICAS",3809694.02333,"hipotecho iii"
"UPZ44",1,"AMERICAS",3809694.02333,"centro americas"
"UPZ44",1,"AMERICAS",3809694.02333,"mandalay ii"
"UPZ13",1,"LOS CEDROS",6722632.07867,"belmira"
"UPZ13",1,"LOS CEDROS",6722632.07867,"giralda"
"UPZ13",1,"LOS CEDROS",6722632.07867,"el laurel"
"UPZ13",1,"LOS CEDROS",6722632.07867,"sierras del moral"
"UPZ13",1,"LOS CEDROS",6722632.07867,"sierras de moral"
"UPZ13",1,"LOS CEDROS",6722632.07867,"contador"
"UPZ13",1,"LOS CEDROS",6722632.07867,"cedro salazar"
"UPZ13",1,"LOS CEDROS",6722632.07867,"cedro golf"
"UPZ13",1,"LOS CEDROS",6722632.07867,"lombardia"
"UPZ13",1,"LOS CEDROS",6722632.07867,"la emilia"
"UPZ13",1,"LOS CEDROS",6722632.07867,"cedro bolivar"
"UPZ13",1,"LOS CEDROS",6722632.07867,"parques de lorena"
"UPZ13",1,"LOS CEDROS",6722632.07867,"el contador-usaquén"
"UPZ13",1,"LOS CEDROS",6722632.07867,"el contador"
"UPZ13",1,"LOS CEDROS",6722632.07867,"el cedro"
"UPZ13",1,"LOS CEDROS",6722632.07867,"los cedritos"
"UPZ13",1,"LOS CEDROS",6722632.07867,"cedritos"
"UPZ13",1,"LOS CEDROS",6722632.07867,"acacias usaquen"
"UPZ13",1,"LOS CEDROS",6722632.07867,"villa dorado norte"
"UPZ70",1,"JERUSALEM",5374763.44439,"potosi"
"UPZ70",1,"JERUSALEM",5374763.44439,"jerusalen"
"UPZ70",1,"JERUSALEM",5374763.44439,"bellavista"
"UPZ36",1,"SAN JOSE",2079471.07119,"san carlos"
"UPZ36",1,"SAN JOSE",2079471.07119,"gustavo restrepo"
"UPZ36",1,"SAN JOSE",2079471.07119,"olaya"
"UPZ66",1,"SAN FRANCISCO",1786033.7918,"san francisco"
"UPZ66",1,"SAN FRANCISCO",1786033.7918,"las acacias"
"UPZ57",1,"GRAN YOMASA",5357986.12383,"la aurora"
"UPZ11",1,"SAN CRISTOBAL NORTE",2752775.05502,"torca"
"UPZ11",1,"SAN CRISTOBAL NORTE",2752775.05502,"el moral"
"UPZ11",1,"SAN CRISTOBAL NORTE",2752775.05502,"country club"
"UPZ11",1,"SAN CRISTOBAL NORTE",2752775.05502,"san cristobal norte"
"UPZ11",1,"SAN CRISTOBAL NORTE",2752775.05502,"barrancas"
"UPZ11",1,"SAN CRISTOBAL NORTE",2752775.05502,"barrancas norte"
"UPZ14",1,"USAQUEN",4926919.80585,"la patria"
"UPZ14",1,"USAQUEN",4926919.80585,"usaquen"
"UPZ14",1,"USAQUEN",4926919.80585,"santa ana occidental"
"UPZ14",1,"USAQUEN",4926919.80585,"santa barbara oriental"
"UPZ14",1,"USAQUEN",4926919.80585,"santa ana oriental"
"UPZ14",1,"USAQUEN",4926919.80585,"bella suiza"
"UPZ14",1,"USAQUEN",4926919.80585,"ginebra"
"UPZ14",1,"USAQUEN",4926919.80585,"escuela de infanteria"
"UPZ14",1,"USAQUEN",4926919.80585,"rincon del chico"
"UPZ73",1,"GARCES NAVAS",5550406.97516,"san basilio"
"UPZ73",1,"GARCES NAVAS",5550406.97516,"alamos"
"UPZ73",1,"GARCES NAVAS",5550406.97516,"alamos norte"
"UPZ73",1,"GARCES NAVAS",5550406.97516,"bosques de mariana"
"UPZ73",1,"GARCES NAVAS",5550406.97516,"libano"
"UPZ73",1,"GARCES NAVAS",5550406.97516,"villas de granada"
"UPZ73",1,"GARCES NAVAS",5550406.97516,"villas de granada i"
"UPZ73",1,"GARCES NAVAS",5550406.97516,"el mortiño"
"UPZ73",1,"GARCES NAVAS",5550406.97516,"gran granada"
"UPZ74",1,"ENGATIVA",5876344.9717,
"UPZ25",1,"LA FLORESTA",3934775.93424,"club los lagartos"
"UPZ97",1,"CHICO LAGO",4224476.02529,"quinta camacho"
"UPZ97",1,"CHICO LAGO",4224476.02529,"la porciuncula"
"UPZ97",1,"CHICO LAGO",4224476.02529,"porciuncula"
"UPZ97",1,"CHICO LAGO",4224476.02529,"espartillal"
"UPZ97",1,"CHICO LAGO",4224476.02529,"el espartillal"
"UPZ97",1,"CHICO LAGO",4224476.02529,"la cabrera"
"UPZ97",1,"CHICO LAGO",4224476.02529,"villa ines"
"UPZ97",1,"CHICO LAGO",4224476.02529,"chico"
"UPZ97",1,"CHICO LAGO",4224476.02529,"el chico"
"UPZ97",1,"CHICO LAGO",4224476.02529,"antiguo country"
"UPZ97",1,"CHICO LAGO",4224476.02529,"chico norte ii"
"UPZ97",1,"CHICO LAGO",4224476.02529,"chico norte"
"UPZ97",1,"CHICO LAGO",4224476.02529,"chicó norte"
"UPZ97",1,"CHICO LAGO",4224476.02529,"chico norte iii"
"UPZ97",1,"CHICO LAGO",4224476.02529,"chico norte ii sector"
"UPZ97",1,"CHICO LAGO",4224476.02529,"chico norte iii sector"
"UPZ98",1,"LOS ALCAZARES",4140271.15487,"quinta mutis"
"UPZ98",1,"LOS ALCAZARES",4140271.15487,"baquero"
"UPZ98",1,"LOS ALCAZARES",4140271.15487,"benjamin herrera"
"UPZ98",1,"LOS ALCAZARES",4140271.15487,"concepcion norte"
"UPZ98",1,"LOS ALCAZARES",4140271.15487,"siete de agosto"
"UPZ98",1,"LOS ALCAZARES",4140271.15487,"alcazares"
"UPZ98",1,"LOS ALCAZARES",4140271.15487,"colombia"
"UPZ98",1,"LOS ALCAZARES",4140271.15487,0
"UPZ98",1,"LOS ALCAZARES",4140271.15487,"san felipe"
"UPZ98",1,"LOS ALCAZARES",4140271.15487,"alcazares norte"
"UPZ98",1,"LOS ALCAZARES",4140271.15487,"juan xxiii"
"UPZ98",1,"LOS ALCAZARES",4140271.15487,"polo club"
"UPZ96",1,"LOURDES",2001371.25426,"el dorado"
"UPZ96",1,"LOURDES",2001371.25426,"girardot"
"UPZ92",1,"LA MACARENA",853235.863943,"las aguas"
"UPZ92",1,"LA MACARENA",853235.863943,"bosque izquierdo"
"UPZ92",1,"LA MACARENA",853235.863943,"la perseverancia"
"UPZ94",1,"LA CANDELARIA",2060243.21071,"belen"
"UPZ94",1,"LA CANDELARIA",2060243.21071,"santa barbara"
"UPZ94",1,"LA CANDELARIA",2060243.21071,"santa barbara alta"
"UPZ94",1,"LA CANDELARIA",2060243.21071,"santa barbara central"
"UPZ94",1,"LA CANDELARIA",2060243.21071,"egipto"
"UPZ94",1,"LA CANDELARIA",2060243.21071,"villa sagrario"
"UPZ94",1,"LA CANDELARIA",2060243.21071,"la catedral"
"UPZ94",1,"LA CANDELARIA",2060243.21071,"simon bolivar"
"UPZ94",1,"LA CANDELARIA",2060243.21071,"el rosario"
"UPZ94",1,"LA CANDELARIA",2060243.21071,"h.b."
"UPZ9",1,"VERBENAL",3557883.95915,"el triunfo"
"UPZ9",1,"VERBENAL",3557883.95915,"las mercedes"
"UPZ9",1,"VERBENAL",3557883.95915,"san antonio norte"
"UPZ9",1,"VERBENAL",3557883.95915,"los cedros-usaquén"
"UPZ9",1,"VERBENAL",3557883.95915,"santa maria"
"UPZ9",1,"VERBENAL",3557883.95915,"colina"
"UPZ9",1,"VERBENAL",3557883.95915,"el codito"
"UPZ9",1,"VERBENAL",3557883.95915,"tibabita"
"UPZ28",1,"EL RINCON",7100888.21945,"el rincon"
"UPZ28",1,"EL RINCON",7100888.21945,"villa elisa"
"UPZ28",1,"EL RINCON",7100888.21945,"los rosales"
"UPZ30",1,"BOYACA REAL",4537818.20272,"boyaca"
"UPZ30",1,"BOYACA REAL",4537818.20272,"santa helenita"
"UPZ30",1,"BOYACA REAL",4537818.20272,"jose joaquin vargas"
"UPZ30",1,"BOYACA REAL",4537818.20272,"florida blanca"
"UPZ30",1,"BOYACA REAL",4537818.20272,"la florida"
"UPZ30",1,"BOYACA REAL",4537818.20272,"la granja"
"UPZ116",1,"ALAMOS",2002441.40285,"carvajal"
"UPZ35",1,"CIUDAD JARDIN",1332391.85019,"ciudad berna"
"UPZ35",1,"CIUDAD JARDIN",1332391.85019,"caracas"
"UPZ35",1,"CIUDAD JARDIN",1332391.85019,"sevilla"
"UPZ35",1,"CIUDAD JARDIN",1332391.85019,"ciudad jardin sur"
"UPZ38",1,"RESTREPO",3547155.14867,"la concordia"
"UPZ38",1,"RESTREPO",3547155.14867,"restrepo"
"UPZ38",1,"RESTREPO",3547155.14867,"santander"
"UPZ38",1,"RESTREPO",3547155.14867,"la fraguita"
"UPZ38",1,"RESTREPO",3547155.14867,"la fragua"
"UPZ41",1,"MUZU",2528220.51449,"ospina perez sur"
"UPZ41",1,"MUZU",2528220.51449,"muzu"
"UPZ41",1,"MUZU",2528220.51449,"autopista muzu"
"UPZ41",1,"MUZU",2528220.51449,"la alqueria"
"UPZ40",1,"CIUDAD MONTES",4455786.99226,"santa matilde"
"UPZ40",1,"CIUDAD MONTES",4455786.99226,"la asuncion"
"UPZ40",1,"CIUDAD MONTES",4455786.99226,"remanso sur"
"UPZ40",1,"CIUDAD MONTES",4455786.99226,"bochica"
"UPZ40",1,"CIUDAD MONTES",4455786.99226,"veraguas"
"UPZ40",1,"CIUDAD MONTES",4455786.99226,"san eusebio"
"UPZ40",1,"CIUDAD MONTES",4455786.99226,"tibana"
"UPZ40",1,"CIUDAD MONTES",4455786.99226,"la camelia"
"UPZ40",1,"CIUDAD MONTES",4455786.99226,"primavera occidental"
"UPZ34",1,"20 DE JULIO",2625356.68692,"20 de julio"
"UPZ34",1,"20 DE JULIO",2625356.68692,"atenas"
