property_type|rent_type|location,price,n_rooms,n_bath,surface,details,url,metrocuadrado_index
"Casa en Arriendo, AUTOPISTA MUZU Bogotá D.C..",$1.700.000,3,2,200.0 m2,"DLM queremos ofrecerte un hermoso y económico apartamento, excelentes vías de acceso, acogedor e iluminado. Lo mejor encuentras almacenes de cadena y centros comerciales muy cercanos los cuales pueden suplir tus necesidades. Estamos interesados en colaborarte comunícate sin ningún compromiso",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-autopista-muzu-3-habitaciones-2-banos-2-garajes/621-M2373944,37.2
"Casa en Arriendo, LISBOA Bogotá D.C..",$4.500.000,3,3,180.0 m2,"Hermosa casa distribuida así: tres habitaciones, dos baños, sala comedor con chimenea, cocina, espacio apto para cuarto de juegos, zona de lavanderia con domo corrediso, espacio para deposito, cuarto de servicio, doble entrada con jardin y tres garajes.1.",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-lisboa-3-habitaciones-3-banos-3-garajes/10176-M2372549,48.4
"Casa en Arriendo, AUTOPISTA MUZU Bogotá D.C..",$1.750.000,3,2,200.0 m2,"CASA 200 M2, DOS NIVELES, PRIMER NIVEL GARAJE  PARA DOS VEHÍCULOS, SALA-COMEDOR, COCINA INTEGRAL, PATIO INTERIOR , BAÑO, JARDÍN EXTERIOR, SEGUNDO NIVEL, 3 ALCOBAS, BALCÓN, UN BAÑO.EXCELENTES VÍAS DE TRANSPORTE A UNA CUADRA DE LA KRA 30, CALLE 50 Y OTRAS VÍAS ALTERNAS. A DOS CUADRAS DEL CENTRO COMERCIAL CENTRO MAYOR",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-autopista-muzu-3-habitaciones-2-banos-2-garajes/621-M2369902,26.6
"Casa en Arriendo, LISBOA Bogotá D.C..",$4.500.000,3,3,180.0 m2,"Hermosa casa distribuida así: tres habitaciones, dos baños, sala comedor con chimenea, cocina, espacio apto para cuarto de juegos, zona de lavandería con domo corrediso, espacio para deposito, cuarto de servicio, doble entrada con jardín y tres garajes.1.",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-lisboa-3-habitaciones-3-banos-3-garajes/10176-M2367095,49.1
"Casa en Arriendo, PRADO VERANIEGO NORTE Bogotá D.C..",$2.300.000,3,4,103.0 m2,"Hermosa casa, excelente ubicación en estrato cinco, EXTERIOR,  iluminación natural, acabados de excelente calidad, cerca a centros comerciales, almacenes de cadena, sector financiero, colegios, universidades, parques , etc. Excelentes vías de acceso. 
Tiene  TRES PISOS, EN EL PRIMER PISO, sala comedor independientes,  chimenea en la sala, cocina integral, area de lavanderia, baño social, deposito debajo de las escaleras, pisos de la sala en madera, del comedor en marmol.. SEGUNDO PISO, dos alcobas una de ella con baño privado y vestier, baño de alcobas completo, pisos en madera laminada.
 TERCER PISO, Alcoba principal con baño privado y vestier, pisos en madera laminada.
 parqueadero frente a la casa.
 El conjunto cuenta con salon social, vigilancia las 24 horas del dia.
La casa esta absolutamente remodelada para estrenar, se entrega con black out y lamparas.
 Contactar a CLAUDIA AL TRES VEINTE, TRES CERO UNO, TREINTA Y DOS, CUARENTA Y DOS.",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-prado-veraniego-norte-3-habitaciones-4-banos-1-garajes/2821-M2359844,39.1
"Casa en Arriendo, GILMAR Bogotá D.C..",$2.100.000,3,3,123.0 m2,"CASA DE 3 NIVELES, SE COMPONE DE SALA-COMEDOR, CHIMENEA, COCINA INTEGRAL, ZONA DE LAVANDERIA INDEPENDIENTE, SALA AUXILIAR, 4 ALCOBAS, 3 BAÑOS, ESTUDIO, JARDIN, UN GARAJE, ESTRATO 4, BUENA UBICACIÓN Y TRANSPORTE.",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-gilmar-3-habitaciones-3-banos-1-garajes/720-M2312680,55.4
"Casa en Arriendo, VILLA DEL PRADO Bogotá D.C..",$1.900.000,3,2,130.0 m2,"Amplia casa en el sector de villa del prado, buena iluminación, parqueadero privado, 3 alcobas, 2 baños. cocina integral,   sin administración, con gas, luz agua.  buen estado.",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-villa-del-prado-3-habitaciones-2-banos-1-garajes/283-M2284283,26.0
"Casa en Venta Y Arriendo, CASA BLANCA Bogotá D.C..",$4.000.000,3,4,179.0 m2,"MODERNA CASA REMODELADA PARA DISFRUTAR EN FAMILIA. Vendo moderna casa. Sala con doble altura en ambiente LOFT, sala comedor separada por chimenea a gas con control remoto que nos brinda calidez en el ambiente, salidas a un ambiente campestre con zona BBQ por sala y comedor, muebles en madera empotrados. 
Conjunto cerrado campestre, alta seguridad, cerca a los mejores colegios del norte de Bogotá, centros deportivos, centros comerciales: Santa Fe, Bima, Centro Chia, cerca a supermercados: Carulla, Makro, Éxito y Alkosto y fácil acceso a transmilenio y otros medios de transporte, el conjunto cuenta con su propia ruta. Sector privilegiado para vivir en familia. Alta Seguridad. LAZ 499-500. ",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-casa-blanca-3-habitaciones-4-banos-3-garajes/9859-M2273758,51.8
"Casa en Arriendo, SAN FRANCISCO Bogotá D.C..",$3.500.000,3,4,161.0 m2,"Hermosa casa de dos niveles recién re-modelada,  el primer nivel cuenta con pequeña zona de recepción, sala de estar, chimenea, baño social, amplia cocina americana, comedor, patio BBQ y cuarto de lavado, el segundo nivel cuenta con estudio, baño social, dos habitaciones con balcón, la habitación principal tiene amplio armario, baño privado con  jacuzzi. Garaje para dos vehículos y terraza. 2",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-san-francisco-3-habitaciones-4-banos-3-garajes/864-M2268427,35.9
"Casa en Arriendo, SANTA BARBARA ORIENTAL Bogotá D.C..",$4.000.000,3,2,140.0 m2,CASA en alquiler en SANTA BARBARA Espectacular casa remodelada amoblada 1  sala de recibimiento bano social comedor sala con chimenea antejardin cocina integral cerrada cuarto y bano de servicio 2 planta alcoba con closet estudio un bano 3 planta alcoba con closet hall  bano  terraza pisos en marmol y alfombrados  un parqueadero calentador con cercania a KR 7  KR 9   CL 127   PARROQUIA NUESTRA SENORA DE TORCOROMA  REGISTRADURIA AUXILIAR USAQUEN Alcobas de Servicio 1 Amoblado Antejardin 1 Bano s,https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-santa-barbara-oriental-3-habitaciones-2-banos/2264-AC-30147,52.1
"Casa en Venta Y Arriendo, LOS ANDES Bogotá D.C..",$3.400.000,4,2,188.0 m2,"Hermosa casa, en excelente ubicación, cerca a Avenidas principales como Cll 100, Av Suba, Cra 30, Cll 80, Autopista Nte, transporte publico tradicional y transmilenio a la mano, cerca de comercio, centros comerciales, zonas bancarias. Es ideal para vivienda y o empresa excelente Iluminación y muy buen estado.",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-los-andes-4-habitaciones-2-banos-2-garajes/766-M2134906,21.7
"Casa en Arriendo, ESTORIL Bogotá D.C..",$4.500.000,4,3,200.0 m2,"Hermosa casa esquinara con 4 habitaciones 3 baños, parqueaderos, ubicada la frente del parque, cerca de autopista norte. Barrio muy tranquilo y residencial. ",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-estoril-4-habitaciones-3-banos-3-garajes/433-M2122055,51.1
"Casa en Arriendo, SANTA BARBARA OCCIDENTAL Bogotá D.C..",$6.000.000,4,3,170.0 m2,"Hermosa casa amoblada de dos niveles para Arriendo, ubicada en muy buen sector de La Calleja, a tan solo unas cuadras de parques, centro comercial y vías principales, amplios espacios, luz natural, moderna, acogedora. Patio interior, rodeada de hermosas zonas verdes, 170 mts, 4 habitaciones, 3 baños, 2 estudios, 2 garajes.. Valor incluida Admón.",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-santa-barbara-occidental-4-habitaciones-3-banos-2-garajes/438-M2077830,61.4
"Casa en Arriendo, SUBA NARANJOS Bogotá D.C..",$5.500.000,3,5,200.0 m2,"Espectacular casa remodelada con una excelente vista a la ciudad, tiene un área de 200mts2, consta de , sala comedor independiente  con balcon , baño social, cocina integral  cerrada con comedor auxiliar, zona de lavandería independiente, cuarto y baño de servicio, tres habitaciones cada una con baño la principal con baño  privado y walking closet, estar de tv o estudio, magnificos acabados, 2 garajes. Luz elena xim",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-suba-naranjos-3-habitaciones-5-banos-2-garajes/2748-M2054799,57.7
"Casa en Arriendo, CASA BLANCA SUBA Bogotá D.C..",$2.900.000,3,3,140.0 m2,"HERMOSA CASA DE 140 MTS, TIENE 3 PISOS, 5 NIVELES, SALA-COMEDOR CON SALIDA A JARDIN PRIVADO DE 77 MTS, TIENE 3 HABITACIONES , COCINA TIPO AMERICANO, INCLUYE VAJILLA Y NEVERA DE VINOS, EN CONJUNTO CLUB HOUSE CON SALONES SOCIALES, JUEGOS, PARQUES, CANCHAS, ZONAS VERDES, SENDEROS.  Ref. BPADRON más LMV",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-casa-blanca-suba-3-habitaciones-3-banos-2-garajes/2265-M2021098,40.0
"Casa en Arriendo, ATENAS Bogotá D.C..",$4.100.000,5,5,190.0 m2,"Espectacular casa amoblada, exterior, excelente ubicación, primer nivel  sala independiente con chimenea, comedor independiente baño social cocina integral a gas zona de lavandería cuarto y baño de servicio y patio interior. Segundo nivel  Alcoba principal con chimenea walkie talkie, closet y baño, dos alcobas adicionales con baño. Tercer nivel alcoba o altillo con baño y terraza, pisos en madera, capacidad para dos carros en línea. Casa esquinera, iluminada, , excelentes vías de acceso, agenda",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-atenas-5-habitaciones-5-banos-2-garajes/5031-9566,41.4
"Casa en Arriendo, PRADO VERANIEGO NORTE Bogotá D.C..",$3.300.000,3,4,167.0 m2,Linda casa niveles remodelada amplios espacios sala con chimenea comedor elegantes escaleras habitaciones con baño privado alcoba principal amplia con balcón baño con tina hidromasajes estudio o cuarta habitación cocina tipo americano altillo se entrega encortinada patio jardín interior zonas verdes dentro del conjunto bellos jardines dos garajes en línea depósito,https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-prado-veraniego-norte-3-habitaciones-4-banos-2-garajes/3240-47345,46.5
"Casa en Arriendo, CONEJERA Bogotá D.C..",$6.000.000,4,5,252.0 m2,"Casa en La Conejera, Conjunto Taguay de 21 casas, con seguridad las 24 horas, conjunto con áreas verdes, zonas de juegos para ninos, canchas de fulbito, basket.
Sector muy tranquilo, cerca a San Jose de Bavaria, a 15 minutos de Centro Comercial Santa Fe y de Av Boyaca.
Casa muy iluminada, con amplios ventanales, que permite ver el paisaje del sector campestre.
La propiedad tiene 5 alcobas con 5 banos, de los cuales 4 tienen ducha, cocina abierta, pisos de madera, en excelente estado de conservación.
La casa cuenta con una terraza muy bonita con excelente vista, en la cual se pueden hacer asados.
Los dormitorios se encuentran en el segundo nivel, con estudio con biblioteca. 
Alcoba principal con amplio vestier, chimenea, muy espaciosa, techos altos.
Hay 2 parqueaderos cubiertos mas espacio para 3 autos mas, sumado al parqueadero de visitantes del Conjunto.
Antiguedad de 25 anos, area construida de 252 m2 y 87 m2 de area libre.
Administracion de 940,000 COP.
",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-conejera-4-habitaciones-5-banos-4-garajes/10220-M2404202,61.1
"Casa en Arriendo, EL SALITRE Bogotá D.C..",$11.000.000,5,5,205.0 m2,"Excelente oportunidad de negocio!!! en inversion de arriendo; para casa hotel  totalmente amoblada, conjunto cerrado, CCTV, citofono, ubicado en salitre Greco, vías de acceso avenida 68, calle 53, Avenida el Dorado, Calle 44, pocas cuadras de la estación Transmilenio Salitre Greco, cerca del Compensar Calle 26,  Dirección General Policía Nacional, Hospital Central de la Policía, Ministerio de Educación,  cerca del centro comercial Gran Estación, Avianca, Salitre plaza, a 6 minutos de la terminal de transporte, 6 minutos de la embajada de los EE. UU.,14 minutos al aeropuerto el Dorado, valor inversión 11.000.000 pesos negociables. ",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-el-salitre-5-habitaciones-5-banos-4-garajes/769-M2399596,73.6
"Casa en Arriendo, BELMIRA Bogotá D.C..",$4.500.000,5,4,288.0 m2,Grandiosa casa esquinera iluminada  bien conservada cerca a la séptima y a zona comercial al lado de zona verde amplios espacios excelente distribucion cuenta con parqueadero para cuatro carros sala con chimenea comedor cocina amplio cuarto y baño de servicio patio tres alcobas star de tv seguridad las 24 horas alcoba principal con baño y vertier el precio incluye el valor de la administracion ,https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-belmira-5-habitaciones-4-banos-4-garajes/3240-M2397570,46.3
"Casa en Arriendo, CONEJERA Bogotá D.C..",$5.000.000,4,4,252.0 m2,"Casa amoblada en conjunto cerrado con excelente iluminación, cuenta con comedor independiente vista a cocina abierta integral, zona de ropas, cuarto y baño de servicio, sala independiente con chimenea, baño social, estudio, estar de TV,  terraza 87 mt2, tres alcobas con baño independiente, alcoba principal con baño privado, vestier, y chimenea. La casa cuenta con seguridad privada, parqueadero de visitantes y parque infantil. La casa tiene acceso por vía Suba a Cota o san Jose de Bavaria.",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-conejera-4-habitaciones-4-banos-4-garajes/5175-1288,46.0
"Casa en Venta Y Arriendo, VILLA DEL PRADO Bogotá D.C..",$2.700.000,4,4,237.0 m2,"VENTA CASA MULTIFAMILIAR, ESTRATO 4,  2 NIVELES, ÁREA 237 MTS2,  SE COMPONE DE 4 ALCOBAS, 4 BAÑOS, SALA, COMEDOR, CHIMENEA, SALA DE MÚSICA, COCINA SEMI-INTEGRAL, ZONA DE LAVANDERÍA, PATIO, ANTEJARDIN,  UN GARAJE PARA 2 VEHICULOS PEQUEÑOS, BUENA UBICACIÓN Y TRANSPORTE. CASA ASTURIANA.",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-villa-del-prado-4-habitaciones-4-banos-1-garajes/720-M2392455,39.1
"Casa en Venta Y Arriendo, LA ESPERANZA Bogotá D.C..",$5.000.000,5,4,220.0 m2,"Arriendo Casa en Modelia, remodelada, amplios espacios, sala y comedor independientes, patio cubierto, bar, grandes habitaciones 2 con baño  privado,  una  con salida a terraza, hall o estar de television con salida a balcon.  Zona tranquila y recursiva de la ciudad, sistema de transporte cercano.  Agende su cita hoy",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-la-esperanza-5-habitaciones-4-banos-2-garajes/10499-1070556,28.1
"Casa en Arriendo, SANTA HELENA I Bogotá D.C..",$3.233.000,3,4,202.0 m2,"Casa tres niveles conjunto cerrado. Área de 202 m2. Pisos en laminado en área social y en alfombra en las habitaciones. Muy iluminada. Sala comedor con chimenea. Estudio. Baño social. Cocina equipada. Cuarto y baño de servicio con área de ropas de buen tamaño. Patio descubierto.sala de TV, tres habitaciones y dos baños completos. habitación principal amplia con walk in closet y terraza privada. El conjunto cuenta con parque infantil, salón comunal, plazoleta, gimnasio y vigilancia 24 horas.",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-santa-helena-i-3-habitaciones-4-banos-2-garajes/10278-321013631,25.2
"Casa en Arriendo, JULIO FLOREZ Bogotá D.C..",$2.899.000,4,4,216.0 m2,"Arriendo Casa La Floresta en dos Niveles y un altillo.  Baño Social, zona social con chimenea, comedor independiente , star techo vidrio, patio de ropas y zona de Lavandería, Cuarto de Servicio con baño, Jardín interior. Salida a parque por patio de la casa exclusivo casas. 2 Nivel: star de TV, 3 alcobas, 2baños. Excelente ubicación entre calles 100 y avenida Suba, estaciones de Transmilenio, cerca Centros comerciales La Floresta, Niza, Iserra 100, Home Center calle 80, éxito Calle 80",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-julio-florez-4-habitaciones-4-banos-1-garajes/159-M2361952,38.4
"Casa en Arriendo, CASA BLANCA Bogotá D.C..",$5.500.000,3,5,208.0 m2,"Espectacular casa de tres niveles en conjunto Mora Verde exterior con excelente iluminación y hermosos acabados, grandes ventanales, terraza de 27 mts y 6 mts de balcones, jardín, sala con doble altura, comedor, chimenea, family room, espacios amplios, cocina abierta integral, zona de ropas, cuarto y baño del servicio. Conjunto con parque para niños, gimnasio dotado, piscina, canchas de juegos. Se renta amoblado o sin amoblar",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-casa-blanca-3-habitaciones-5-banos-3-garajes/3241-M2341575,34.7
"Casa en Arriendo, SAN FRANCISCO Bogotá D.C..",$3.500.000,3,3,210.0 m2,"Espectacular casa de dos niveles recién re-modelada,  el primer nivel cuenta con pequeña zona de recepción, sala de estar, chimenea, baño social, amplia cocina americana, comedor, patio BBQ y cuarto de lavado, el segundo nivel cuenta con estudio, baño social, dos habitaciones con balcón, la habitación principal tiene amplio armario, baño privado con  jacuzzi. Garaje para dos vehículos y terraza. 2",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-san-francisco-3-habitaciones-3-banos-2-garajes/10176-M2284413,61.4
"Casa en Arriendo, SAN FRANCISCO Bogotá D.C..",$950.000.000,3,4,210.0 m2,"Hermosa casa de dos niveles recién re-modelada,  el primer nivel cuenta con pequeña zona de recepción, sala de estar, chimenea, baño social, amplia cocina americana, comedor, patio BBQ y cuarto de lavado, el segundo nivel cuenta con estudio, baño social, dos habitaciones con balcón, la habitación principal tiene amplio armario, baño privado con  jacuzzi. Garaje para dos vehículos y terraza. 2",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-san-francisco-3-habitaciones-4-banos-2-garajes/864-M2269997,66.4
"Casa en Arriendo, SAN LUIS Bogotá D.C..",$5.550.000,5,4,260.0 m2,"Arriendo casa esquinera, remodelada para uso de oficinas, con excelente ubicación geográfica, 6 oficinas, sala de juntas, espacio de almacenamiento, garajes, dos niveles, con cableado estructurado, cerca eléctrico, sensores, con luz LED, estrato 4 baños remodelados, (2 baños de mujeres y 2 para hombres), ",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-san-luis-5-habitaciones-4-banos-4-garajes/3032-M2266868,43.9
"Casa en Venta Y Arriendo, SAN JOSE DE BAVARIA Bogotá D.C..",$13.000.000,3,4,220.0 m2,"Casa ubicada en San Jose de Bavaria con espectaculares zona verdes, cerca a centros comerciales y colegios, tambien se arrienda amoblada.",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-jose-de-bavaria-3-habitaciones-4-banos-4-garajes/2251-M2215782,54.8
"Casa en Arriendo, LA CALLEJA Bogotá D.C..",$4.000.000,4,5,217.0 m2,"Linda casa en conjunto cerrado en arriendo en la calleja.
Tiene 217 metros.
En su primer nivel consta de sala con chimenea, jardin para BBQ, comedor independiente, cocina, zona de lavanderia, cuarto y baño del servicio. baño social,
deposito.
Segundo nivel tiene cuatro alcobas, dos baños, la principal con terraza y jacuzzi.
Garaje cubierto y tres descubiertos.",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-la-calleja-4-habitaciones-5-banos-4-garajes/750-M2180182,29.8
"Casa en Arriendo, MONACO Bogotá D.C..",$4.500.000,5,4,250.0 m2,"Casa en el sector de la alhambra,útil para oficinas,con 5 espacios para oficinas y 2 espacio para recepción,parqueaderos privados con espacios para 4 autos,esta DISPONIBLE",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-monaco-5-habitaciones-4-banos-4-garajes/3036-M2164975,34.5
"Casa en Venta Y Arriendo, NIZA NORTE Bogotá D.C..",$3.800.000,4,4,300.0 m2,"casa  remodelada con 280 mtros apta para empresa a puertas cerradas,para instituto de ingles, academia, sala de belleza. ",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-niza-norte-4-habitaciones-4-banos-2-garajes/3036-M2155442,28.3
"Casa en Arriendo, MONACO Bogotá D.C..",$3.000.000,3,4,280.0 m2,"¡Un inmueble acogedor en excelentes condiciones! Ubicada en un sector residencial de la ciudad, tranquilo con muy buenas zonas verdes en sus alrededores. Cuenta con vías principales de fácil acceso lo que facilitará la movilidad y el transporte en la ciudad, además en sus cercanías se encuentran localizados centros comerciales, almacenes de cadena y una amplia zona bancaria cubriendo cualquier tipo de necesidad que se te pueda presentar. Espacios amplios, independientes y en excelentes condiciones, haz de este inmueble tu hogar ideal. Contactanos!",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-monaco-3-habitaciones-4-banos-3-garajes/621-M2141202,44.5
"Casa en Arriendo, NIZA NORTE Bogotá D.C..",$15.000.000,5,4,264.0 m2,"arriendo amplias 2 casas medianeras, uso  comercial,  sobre la calle 127 y entre la Av Suba y Av Boyacá, cerca al CC Bulevar Niza. Adaptada para oficinas, con capacidad para 35 personas c/u,  cableado estructural, disponibilidad de los propietarios para realizar adecuaciones.  Nivel 1: recepción, 3 ofcinas, salon de descanso, cafeteria, bodega, archivo, 3 baños.  Nivel 2: 4 oficinas, incluida la de Gerencia con baño privado.   Individual canon $8.000.000.  EStrato 5.  Camaras de seguridad",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-niza-norte-5-habitaciones-4-banos-3-garajes/3553-M2125577,73.8
"Casa en Arriendo, CASA BLANCA Bogotá D.C..",$5.600.000,2,3,260.0 m2,"San Simón , Conjunto cerrado casa amoblada, de 240 mtrs , lote de 1600 mtrs , cerca al Centro Comercial Bima , y autopista Norte
jardín interior muy grande, sala, comedor, estudio independientes, chimenea,  baño social , cocina grande cerrada , comedor auxiliar y salida a terraza, 2 alcobas grandes cada una con baño privado y walking closet , la principal con terraza grande ,  zona de lavandería alcoba y baño del servicio , y depósito, espacio para varios carros",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-casa-blanca-2-habitaciones-3-banos-4-garajes/4969-M2088197,33.5
