age,job,marital,education,default,balance,housing,loan,contact,month,campaign,pdays,previous,poutcome,outcome,day_of_week,log_duration
5,technician,married,primary,False,65,True,False,unknown,5,2,0,0,unknown,True,2,6.93537044601511
1,blue-collar,single,secondary,False,82,True,False,unknown,5,1,0,0,unknown,True,2,6.483107351457199
2,blue-collar,married,secondary,False,10,True,False,unknown,5,2,0,0,unknown,True,2,7.433666540166168
1,blue-collar,divorced,primary,False,390,True,False,unknown,5,2,0,0,unknown,True,2,6.499787040655854
1,management,single,tertiary,False,311,False,False,unknown,5,2,0,0,unknown,True,5,6.6293632534374485
2,blue-collar,married,primary,False,414,False,False,unknown,5,4,0,0,unknown,True,6,6.222576268071369
1,management,divorced,secondary,False,5,True,False,unknown,5,1,0,0,unknown,True,6,7.204892510204673
2,management,married,tertiary,False,119,True,False,unknown,5,4,0,0,unknown,True,6,6.342121418721152
0,entrepreneur,single,primary,False,4,True,False,unknown,5,2,0,0,unknown,True,6,5.978885764901122
5,blue-collar,married,primary,False,1262,True,True,unknown,5,1,0,0,unknown,True,6,6.922643891475888
3,management,married,tertiary,False,1949,True,False,unknown,5,2,0,0,unknown,True,6,6.52649485957079
3,entrepreneur,divorced,tertiary,False,-395,True,False,unknown,5,1,0,0,unknown,True,6,6.152732694704104
2,blue-collar,married,secondary,False,1165,True,False,unknown,5,4,0,0,unknown,True,6,6.90875477931522
4,management,married,unknown,False,2240,True,False,unknown,5,1,0,0,unknown,True,6,6.739336627357174
2,blue-collar,divorced,primary,False,300,True,False,unknown,5,2,0,0,unknown,True,6,6.851184927493743
3,technician,married,secondary,False,3285,True,False,unknown,5,2,0,0,unknown,True,6,7.450660796211539
4,housemaid,married,secondary,False,3923,True,False,unknown,5,3,0,0,unknown,True,0,6.848005274576363
4,technician,divorced,primary,False,1443,True,False,unknown,5,1,0,0,unknown,True,0,6.16541785423142
3,blue-collar,divorced,primary,False,24,True,False,unknown,5,1,0,0,unknown,True,0,6.723832440821209
2,blue-collar,single,primary,False,1618,True,False,unknown,5,1,0,0,unknown,True,0,7.347943823148687
2,management,divorced,tertiary,False,517,True,True,unknown,5,1,0,0,unknown,True,0,7.191429330036379
5,retired,married,secondary,False,1521,True,True,unknown,5,2,0,0,unknown,True,0,7.025538314638521
2,blue-collar,married,secondary,False,2823,True,False,unknown,5,1,0,0,unknown,True,0,6.754604099487962
3,blue-collar,married,secondary,False,1405,True,False,unknown,5,2,0,0,unknown,True,0,6.444131256700441
2,admin.,married,secondary,False,1535,True,False,unknown,5,1,0,0,unknown,True,0,6.556778356158042
3,blue-collar,married,secondary,False,1596,True,False,unknown,5,1,0,0,unknown,True,0,6.633318433280377
5,retired,married,primary,False,1542,True,False,unknown,5,1,0,0,unknown,True,0,6.835184586147301
2,technician,single,unknown,False,3652,True,False,unknown,5,2,0,0,unknown,True,0,6.93537044601511
5,technician,married,tertiary,False,-1,False,False,unknown,5,2,0,0,unknown,True,0,6.745236349484363
4,blue-collar,married,secondary,False,7180,True,False,unknown,5,1,0,0,unknown,True,0,6.831953565565855
2,blue-collar,divorced,secondary,False,5291,True,False,unknown,5,3,0,0,unknown,True,0,7.260522598089852
2,blue-collar,married,secondary,False,1384,True,False,unknown,5,4,0,0,unknown,True,1,7.057897937411856
4,blue-collar,divorced,primary,False,-191,True,False,unknown,5,1,0,0,unknown,True,1,6.626717749249025
5,blue-collar,married,primary,False,320,True,False,unknown,5,1,0,0,unknown,True,1,6.543911845564792
3,blue-collar,married,unknown,False,146,True,False,unknown,5,1,0,0,unknown,True,1,6.180016653652572
4,unknown,married,primary,False,341,True,True,unknown,5,2,0,0,unknown,True,1,6.253828811575473
2,services,married,primary,False,-9,True,False,unknown,5,2,0,0,unknown,True,1,6.824373670043086
2,admin.,married,primary,False,-306,True,False,unknown,5,1,0,0,unknown,True,1,6.214608098422191
3,technician,married,tertiary,False,4580,True,False,unknown,5,2,0,0,unknown,True,1,6.814542897259958
5,services,single,primary,False,313,True,False,unknown,5,2,0,0,unknown,True,1,6.824373670043086
1,management,married,tertiary,False,10576,False,False,unknown,5,2,0,0,unknown,True,1,7.1098794630722715
2,retired,divorced,primary,False,-233,True,False,unknown,5,2,0,0,unknown,True,1,7.052721049232323
2,blue-collar,married,primary,False,2453,True,False,unknown,5,1,0,0,unknown,True,1,6.9584483932976555
3,technician,single,secondary,False,1364,True,False,unknown,5,6,0,0,unknown,True,1,7.532088143541722
2,services,single,unknown,False,281,True,False,unknown,5,1,0,0,unknown,True,2,6.244166900663736
2,technician,married,tertiary,False,94,True,True,unknown,5,1,0,0,unknown,True,2,6.70073110954781
1,self-employed,single,tertiary,False,144,True,False,unknown,5,1,0,0,unknown,True,2,6.516193076042964
1,blue-collar,married,secondary,False,246,True,False,unknown,5,3,0,0,unknown,True,2,7.04141166379481
1,blue-collar,married,secondary,False,92,True,False,unknown,5,1,0,0,unknown,True,2,6.5337888379333435
1,admin.,single,secondary,False,163,True,True,unknown,5,1,0,0,unknown,True,2,6.688354713946762
2,services,divorced,secondary,False,49,True,False,unknown,5,2,0,0,unknown,True,2,6.428105272684596
1,blue-collar,single,secondary,False,-416,True,False,unknown,5,2,0,0,unknown,True,2,6.642486801367256
0,technician,single,secondary,False,409,True,False,unknown,5,1,0,0,unknown,True,2,6.815639990074331
4,admin.,divorced,secondary,False,363,True,False,unknown,5,1,0,0,unknown,True,2,7.200424892944957
1,technician,single,tertiary,False,3706,True,False,unknown,5,1,0,0,unknown,True,2,6.799055862058796
4,management,single,tertiary,False,4393,True,False,unknown,5,3,0,0,unknown,True,2,7.167809184316444
1,technician,single,secondary,False,863,True,False,unknown,5,5,0,0,unknown,True,2,7.084226422097916
2,blue-collar,married,primary,False,695,True,True,unknown,5,4,0,0,unknown,True,2,6.96979066990159
2,management,single,secondary,False,792,True,False,unknown,5,4,0,0,unknown,True,2,7.079184394609668
2,admin.,single,secondary,False,1020,True,False,unknown,5,1,0,0,unknown,True,5,6.782192056006791
3,blue-collar,married,secondary,False,863,True,False,unknown,5,2,0,0,unknown,True,5,6.849066282633458
1,admin.,married,secondary,False,97,True,False,unknown,5,1,0,0,unknown,True,5,6.408528791059498
1,blue-collar,married,secondary,False,754,True,False,unknown,5,4,0,0,unknown,True,5,6.92951677076365
3,services,divorced,secondary,False,1040,True,False,unknown,5,3,0,0,unknown,True,5,6.313548046277095
2,management,divorced,tertiary,False,122,True,False,unknown,5,2,0,0,unknown,True,5,7.3914152346753585
1,technician,single,tertiary,False,880,True,True,unknown,5,6,0,0,unknown,True,5,6.874198495453294
2,technician,married,secondary,False,501,True,False,unknown,5,5,0,0,unknown,True,5,6.361302477572996
2,blue-collar,married,secondary,False,4438,True,False,unknown,5,1,0,0,unknown,True,6,6.100318952020064
2,blue-collar,divorced,secondary,False,0,True,False,unknown,5,1,0,0,unknown,True,6,7.094234845924755
1,services,single,secondary,False,271,True,False,unknown,5,2,0,0,unknown,True,6,7.540090320145325
2,blue-collar,married,primary,False,102,True,False,unknown,5,1,0,0,unknown,True,6,7.195937226475569
1,blue-collar,married,secondary,False,2,True,False,unknown,5,2,0,0,unknown,True,6,5.204006687076795
2,services,married,secondary,False,4170,True,False,unknown,5,1,0,0,unknown,True,6,7.482681828154651
2,technician,single,secondary,False,85,True,False,unknown,5,4,0,0,unknown,True,6,7.074963197966044
1,admin.,single,secondary,False,431,True,True,unknown,5,1,0,0,unknown,True,6,6.951772164398911
3,technician,divorced,secondary,False,982,True,False,unknown,5,3,0,0,unknown,True,6,6.476972362889683
2,blue-collar,married,primary,False,408,True,True,unknown,5,2,0,0,unknown,True,6,6.968850378341948
2,blue-collar,married,unknown,False,4822,True,False,unknown,5,2,0,0,unknown,True,6,6.736966958001855
2,blue-collar,married,primary,False,1250,True,False,unknown,5,2,0,0,unknown,True,6,7.238496840894365
1,blue-collar,single,primary,False,216,True,False,unknown,5,1,0,0,unknown,True,0,6.336825731146441
2,blue-collar,married,secondary,False,1207,True,False,unknown,5,1,0,0,unknown,True,0,6.807934943699926
1,technician,married,secondary,False,791,True,False,unknown,5,2,0,0,unknown,True,0,6.663132695990803
2,management,married,tertiary,False,849,True,True,unknown,5,2,0,0,unknown,True,0,6.86484777797086
1,blue-collar,single,secondary,True,239,True,False,unknown,5,1,0,0,unknown,True,0,6.021023349349527
2,technician,single,secondary,False,1211,True,False,unknown,5,1,0,0,unknown,True,0,6.678342114654332
2,blue-collar,married,primary,False,599,True,False,unknown,5,2,0,0,unknown,True,0,6.47543271670409
1,management,single,tertiary,False,825,True,False,unknown,5,2,0,0,unknown,True,0,6.226536669287466
1,technician,married,secondary,False,2183,True,True,unknown,5,1,0,0,unknown,True,0,6.75343791859778
2,retired,married,primary,False,4499,False,False,unknown,5,1,0,0,unknown,True,0,7.427144133408616
1,technician,single,tertiary,False,1289,True,False,unknown,5,2,0,0,unknown,True,0,7.436617265234227
1,technician,single,tertiary,False,4665,True,False,unknown,5,2,0,0,unknown,True,0,6.756932389247553
2,technician,single,secondary,False,3326,True,False,unknown,5,1,0,0,unknown,True,0,6.683360945766275
1,blue-collar,married,secondary,False,783,True,False,unknown,5,3,0,0,unknown,True,0,6.827629234502852
1,blue-collar,married,secondary,False,0,True,False,unknown,5,3,0,0,unknown,True,0,6.255750041753367
2,blue-collar,married,primary,False,994,True,False,unknown,5,8,0,0,unknown,True,2,7.207118856207756
2,self-employed,divorced,tertiary,False,1354,True,False,unknown,5,2,0,0,unknown,True,2,6.601230118728877
1,blue-collar,single,secondary,False,239,True,False,unknown,5,1,0,0,unknown,True,2,6.665683717782408
3,blue-collar,divorced,primary,False,-311,True,False,unknown,5,1,0,0,unknown,True,2,6.937314081223682
3,admin.,married,secondary,False,149,True,False,unknown,5,3,0,0,unknown,True,2,6.794586580876499
1,blue-collar,married,secondary,False,1464,True,False,unknown,5,3,0,0,unknown,True,2,6.376726947898627
3,management,divorced,tertiary,False,5773,False,False,unknown,5,6,0,0,unknown,True,2,6.391917113392602
2,blue-collar,married,primary,False,278,True,False,unknown,5,3,0,0,unknown,True,2,6.922643891475888
1,blue-collar,married,secondary,False,2910,True,False,unknown,5,2,0,0,unknown,True,2,7.238496840894365
1,technician,married,tertiary,False,541,True,False,unknown,5,2,0,0,unknown,True,5,6.025865973825314
3,technician,divorced,secondary,False,1262,True,False,unknown,5,11,0,0,unknown,True,5,6.669498089857879
2,services,married,secondary,False,-538,True,False,unknown,5,1,0,0,unknown,True,5,6.525029657843462
2,blue-collar,married,secondary,False,125,False,False,unknown,5,2,0,0,unknown,True,5,6.520621127558696
1,self-employed,single,tertiary,False,0,True,False,unknown,5,2,0,0,unknown,True,5,7.352441100243583
1,admin.,single,secondary,False,620,True,False,unknown,5,3,0,0,unknown,True,5,7.1180162044653335
2,blue-collar,divorced,secondary,False,316,True,False,unknown,5,2,0,0,unknown,True,5,6.464588303689961
2,management,married,tertiary,False,2287,True,False,unknown,5,4,0,0,unknown,True,5,6.796823718274855
2,admin.,divorced,secondary,False,198,True,False,unknown,5,2,0,0,unknown,True,5,6.066108090103747
1,admin.,single,secondary,False,460,True,False,unknown,5,6,0,0,unknown,True,5,6.608000625296087
1,management,divorced,tertiary,False,1145,True,False,unknown,5,4,0,0,unknown,True,5,7.148345743900068
5,services,married,secondary,False,-22,True,False,unknown,5,3,0,0,unknown,True,5,6.617402977974478
0,blue-collar,married,secondary,False,685,True,False,unknown,5,3,0,0,unknown,True,5,6.79794041297493
1,services,single,secondary,False,901,True,False,unknown,5,2,0,0,unknown,True,5,6.638567789166521
5,retired,single,secondary,False,351,True,False,unknown,5,5,0,0,unknown,True,6,6.968850378341948
1,entrepreneur,single,primary,False,0,True,True,unknown,5,1,0,0,unknown,True,6,6.957497370876951
2,admin.,married,secondary,False,274,True,False,unknown,5,3,0,0,unknown,True,6,6.594413459749778
1,admin.,single,secondary,False,-213,True,True,unknown,5,1,0,0,unknown,True,6,6.621405651764134
0,blue-collar,married,secondary,False,97,True,False,unknown,5,1,0,0,unknown,True,6,6.5638555265321274
3,services,divorced,secondary,False,51,True,True,unknown,5,2,0,0,unknown,True,6,8.037220031133012
1,management,married,tertiary,False,314,False,False,unknown,5,2,0,0,unknown,True,0,6.843749949006225
1,management,single,tertiary,False,6840,True,False,unknown,5,2,0,0,unknown,True,0,7.352441100243583
1,technician,single,secondary,False,668,True,False,unknown,5,3,0,0,unknown,True,0,6.3561076606958915
1,services,single,secondary,False,54,True,False,unknown,5,2,0,0,unknown,True,0,6.297109319933935
0,self-employed,single,secondary,False,1242,True,False,unknown,5,2,0,0,unknown,True,0,6.421622267806518
1,management,married,secondary,False,292,True,False,unknown,5,1,0,0,unknown,True,0,6.2285110035911835
0,services,single,secondary,False,665,True,False,unknown,5,1,0,0,unknown,True,0,7.075808863978387
2,management,single,tertiary,False,1058,True,False,unknown,5,2,0,0,unknown,True,0,6.761572768804055
1,student,single,secondary,False,949,True,False,unknown,5,1,0,0,unknown,True,0,7.455876687491824
4,entrepreneur,married,unknown,False,606,True,False,unknown,5,9,0,0,unknown,True,0,6.327936783729195
2,blue-collar,married,secondary,False,0,True,True,unknown,5,1,0,0,unknown,True,1,6.297109319933935
2,admin.,married,secondary,False,404,True,False,unknown,5,1,0,0,unknown,True,1,6.289715570908998
4,blue-collar,married,secondary,False,249,True,False,unknown,5,2,0,0,unknown,True,1,6.673297967767654
3,unemployed,divorced,secondary,False,3354,True,False,unknown,5,1,0,0,unknown,True,1,6.61472560020376
5,blue-collar,divorced,secondary,False,0,True,False,unknown,5,1,0,0,unknown,True,1,7.095893221097532
4,technician,married,secondary,False,589,True,False,unknown,5,2,0,0,unknown,True,1,6.282266746896006
1,management,single,tertiary,False,12956,True,False,unknown,5,3,0,0,unknown,True,1,6.670766320845874
1,admin.,married,secondary,False,873,True,False,unknown,5,3,0,0,unknown,True,1,6.674561391814426
3,blue-collar,divorced,primary,False,594,True,False,unknown,5,2,0,0,unknown,True,1,6.725033642166843
1,blue-collar,single,secondary,False,-20,True,False,unknown,5,2,0,0,unknown,True,1,6.70196036600254
2,management,divorced,tertiary,False,4692,True,False,unknown,5,2,0,0,unknown,True,1,7.217443431696533
1,blue-collar,married,secondary,False,486,True,False,unknown,5,3,0,0,unknown,True,1,7.011213987350367
3,blue-collar,single,primary,False,1593,True,False,unknown,5,3,0,0,unknown,True,1,6.71901315438526
2,management,single,tertiary,False,7606,True,False,unknown,5,1,0,0,unknown,True,2,6.821107472256465
2,technician,married,secondary,False,226,True,False,unknown,5,3,0,0,unknown,True,2,6.635946555686647
2,blue-collar,single,secondary,False,366,True,True,unknown,5,2,0,0,unknown,True,2,7.0326242610280065
2,management,divorced,secondary,False,16,True,False,unknown,5,1,0,0,unknown,True,2,6.45833828334479
2,management,single,tertiary,False,565,True,False,unknown,5,1,0,0,unknown,True,2,6.637258031284457
2,admin.,divorced,secondary,False,19,True,False,unknown,5,2,0,0,unknown,True,2,6.403574197934815
2,services,married,primary,False,1082,True,False,unknown,5,2,0,0,unknown,True,2,6.74993119378857
3,unemployed,divorced,secondary,False,1713,True,False,unknown,5,2,0,0,unknown,True,2,6.75110146893676
3,management,divorced,tertiary,False,14481,True,False,unknown,5,1,0,0,unknown,True,2,7.1459844677143876
2,technician,divorced,secondary,False,5724,True,False,unknown,5,10,0,0,unknown,True,2,6.53813982376767
2,technician,divorced,secondary,False,1451,True,False,unknown,5,15,0,0,unknown,True,2,7.00033446027523
1,services,married,secondary,False,-34,True,False,unknown,5,2,0,0,unknown,True,2,7.119635638017636
4,unemployed,married,secondary,False,3674,True,False,unknown,5,3,0,0,unknown,True,2,6.786716950605081
2,blue-collar,married,secondary,False,698,True,True,unknown,5,3,0,0,unknown,True,2,7.202661196523238
2,technician,single,secondary,False,4136,True,False,unknown,5,3,0,0,unknown,True,2,6.699500340161678
4,blue-collar,divorced,primary,False,2656,True,False,unknown,5,2,0,0,unknown,True,2,7.590852123688581
3,management,single,tertiary,False,2904,True,False,unknown,5,2,0,0,unknown,True,2,6.891625897052253
1,management,single,tertiary,False,1004,True,False,unknown,5,2,0,0,unknown,True,2,5.429345628954441
3,technician,single,secondary,False,410,True,False,unknown,5,4,0,0,unknown,True,2,6.792344427470809
1,unemployed,divorced,primary,False,0,True,False,unknown,5,12,0,0,unknown,True,2,6.61338421837956
1,management,single,tertiary,False,0,True,False,unknown,5,12,0,0,unknown,True,2,6.289715570908998
4,entrepreneur,single,secondary,False,62,True,False,unknown,5,5,0,0,unknown,True,2,6.950814768442584
1,blue-collar,married,primary,False,416,True,False,unknown,5,2,0,0,unknown,True,2,7.084226422097916
2,management,married,tertiary,False,2763,True,False,unknown,6,2,0,0,unknown,True,5,6.26530121273771
2,services,married,secondary,False,2984,True,False,unknown,6,1,0,0,unknown,True,5,5.976350909297934
2,blue-collar,married,primary,False,143,True,True,unknown,6,2,0,0,unknown,True,5,6.490723534502507
2,services,married,primary,False,0,True,False,unknown,6,1,0,0,unknown,True,5,6.943122422819428
1,technician,married,secondary,False,696,True,False,unknown,6,1,0,0,unknown,True,5,6.703188113240863
2,services,married,secondary,False,152,True,False,unknown,6,1,0,0,unknown,True,5,6.333279628139691
2,management,single,tertiary,False,-78,True,False,unknown,6,1,0,0,unknown,True,5,6.97354301952014
2,management,married,tertiary,False,867,True,False,unknown,6,3,0,0,unknown,True,5,5.438079308923196
1,blue-collar,single,secondary,False,953,True,False,unknown,6,2,0,0,unknown,True,5,6.616065185132817
3,blue-collar,married,secondary,False,443,True,False,unknown,6,5,0,0,unknown,True,5,6.508769136971682
3,technician,single,secondary,True,-1129,True,False,unknown,6,5,0,0,unknown,True,5,6.318968113746434
1,blue-collar,married,primary,False,415,True,False,unknown,6,4,0,0,unknown,True,5,6.655440350367647
1,blue-collar,single,secondary,False,260,True,False,unknown,6,14,0,0,unknown,True,5,6.561030665896573
3,management,divorced,tertiary,True,-411,True,False,unknown,6,4,0,0,unknown,True,5,6.068425588244111
1,technician,single,secondary,False,1279,True,False,unknown,6,3,0,0,unknown,True,6,7.067319848653476
1,unemployed,married,secondary,False,86,True,True,unknown,6,2,0,0,unknown,True,6,6.870053411798126
2,self-employed,married,secondary,True,-754,True,True,unknown,6,3,0,0,unknown,True,6,6.846943139585379
3,entrepreneur,married,secondary,False,0,False,False,unknown,6,7,0,0,unknown,True,6,6.932447891572509
1,management,single,secondary,False,178,True,False,unknown,6,2,0,0,unknown,True,6,6.595780513961311
2,services,single,secondary,False,278,True,False,unknown,6,3,0,0,unknown,True,6,6.951772164398911
0,services,single,secondary,False,425,True,False,unknown,6,1,0,0,unknown,True,6,6.643789733147672
0,management,married,primary,False,168,True,False,unknown,6,1,0,0,unknown,True,6,6.68586094706836
1,blue-collar,single,secondary,True,-36,True,False,unknown,6,2,0,0,unknown,True,6,6.1779441140506
3,blue-collar,divorced,primary,False,126,True,False,unknown,6,2,0,0,unknown,True,6,7.806289289267033
2,admin.,married,secondary,False,-87,True,False,unknown,6,7,0,0,unknown,True,6,7.217443431696533
1,technician,single,tertiary,False,6281,True,False,unknown,6,4,0,0,unknown,True,6,7.197435354096591
3,management,divorced,secondary,False,644,True,False,unknown,6,1,0,0,unknown,True,0,6.450470422144176
1,admin.,divorced,secondary,False,377,True,False,unknown,6,15,0,0,unknown,True,0,6.261491684321042
1,services,single,secondary,False,-271,True,False,unknown,6,1,0,0,unknown,True,0,6.359573868672378
2,blue-collar,married,primary,False,5839,True,False,unknown,6,2,0,0,unknown,True,0,6.891625897052253
0,blue-collar,single,secondary,False,492,True,False,unknown,6,1,0,0,unknown,True,0,6.45833828334479
1,management,single,tertiary,False,99,True,False,unknown,6,2,0,0,unknown,True,0,6.642486801367256
1,management,single,tertiary,True,-713,True,False,unknown,6,2,0,0,unknown,True,0,6.263398262591624
1,services,single,secondary,False,32,True,False,unknown,6,1,0,0,unknown,True,0,6.333279628139691
1,self-employed,married,tertiary,False,543,True,True,unknown,6,6,0,0,unknown,True,0,7.278628942320682
2,blue-collar,married,primary,False,403,True,False,unknown,6,1,0,0,unknown,True,0,6.824373670043086
2,admin.,divorced,secondary,False,437,True,False,unknown,6,1,0,0,unknown,True,0,6.811244378601294
2,blue-collar,married,secondary,False,1772,False,False,unknown,6,1,0,0,unknown,True,1,5.337538079701318
5,retired,divorced,primary,False,-88,True,False,unknown,6,2,0,0,unknown,True,1,6.813444599510896
3,entrepreneur,married,secondary,False,0,False,False,unknown,6,1,0,0,unknown,True,1,7.27655640271871
5,entrepreneur,married,tertiary,False,853,False,False,unknown,6,2,0,0,unknown,True,1,7.046647277848756
2,management,single,tertiary,False,240,False,False,unknown,6,1,0,0,unknown,True,1,7.023758954738443
3,admin.,single,secondary,False,849,True,False,unknown,6,2,0,0,unknown,True,1,6.230481447578482
3,blue-collar,single,secondary,False,318,True,False,unknown,6,2,0,0,unknown,True,1,6.601230118728877
1,management,single,tertiary,False,703,True,False,unknown,6,3,0,0,unknown,True,1,6.380122536899765
2,services,divorced,secondary,False,61,False,False,unknown,6,1,0,0,unknown,True,1,6.455198563340122
4,housemaid,married,primary,False,104,False,True,unknown,6,1,0,0,unknown,True,1,6.55250788703459
3,blue-collar,married,secondary,False,1996,False,False,unknown,6,2,0,0,unknown,True,1,6.634633357861686
4,housemaid,divorced,primary,True,1238,False,False,unknown,6,1,0,0,unknown,True,1,7.351158226430694
2,housemaid,married,secondary,False,879,False,False,unknown,6,2,0,0,unknown,True,1,6.959398512133975
1,self-employed,married,secondary,False,425,True,False,unknown,6,15,0,0,unknown,True,1,6.331501849893691
4,technician,married,secondary,False,416,True,False,unknown,6,5,0,0,unknown,True,1,6.202535517187923
3,blue-collar,divorced,primary,False,844,False,False,unknown,6,3,0,0,unknown,True,1,6.925595197110468
2,blue-collar,married,secondary,False,860,True,False,unknown,6,4,0,0,unknown,True,1,6.784457062637643
1,technician,single,secondary,False,639,True,False,unknown,6,5,0,0,unknown,True,2,6.5638555265321274
1,admin.,married,secondary,False,710,True,True,unknown,6,2,0,0,unknown,True,2,7.151485463904735
2,blue-collar,married,unknown,False,1508,False,True,unknown,6,2,0,0,unknown,True,2,5.942799375126701
1,admin.,single,secondary,False,223,True,False,unknown,6,11,0,0,unknown,True,2,6.759255270663693
2,management,single,tertiary,False,619,True,False,unknown,6,4,0,0,unknown,True,2,6.131226489483141
2,services,divorced,secondary,False,319,True,False,unknown,6,3,0,0,unknown,True,2,6.1463292576688975
4,technician,married,secondary,False,480,False,False,unknown,6,2,0,0,unknown,True,2,6.473890696352274
1,blue-collar,single,primary,False,213,True,False,unknown,6,3,0,0,unknown,True,2,7.88344635413774
2,management,single,tertiary,False,68,False,False,unknown,6,1,0,0,unknown,True,2,6.98933526597456
1,blue-collar,married,secondary,False,2788,True,False,unknown,6,2,0,0,unknown,True,2,5.910796644040527
4,blue-collar,married,unknown,False,7561,False,False,unknown,6,3,0,0,unknown,True,2,6.529418838262226
4,management,divorced,secondary,False,-46,True,False,unknown,6,10,0,0,unknown,True,5,6.961296045910167
4,services,married,secondary,False,1595,False,False,unknown,6,1,0,0,unknown,True,5,6.782192056006791
3,management,single,tertiary,False,1046,False,False,unknown,6,1,0,0,unknown,True,5,6.803505257608338
5,self-employed,divorced,tertiary,False,1382,False,False,unknown,6,1,0,0,unknown,True,5,6.551080335043404
2,technician,married,primary,False,217,True,False,unknown,6,6,0,0,unknown,True,5,6.19644412779452
3,blue-collar,divorced,primary,False,183,False,False,unknown,6,1,0,0,unknown,True,5,6.84587987526405
5,management,married,secondary,False,1321,False,False,unknown,6,3,0,0,unknown,True,5,8.263848131368906
5,blue-collar,married,secondary,False,25,False,False,unknown,6,3,0,0,unknown,True,5,6.186208623900494
2,self-employed,single,tertiary,False,4844,False,False,unknown,6,3,0,0,unknown,True,5,7.036148493750536
3,entrepreneur,married,tertiary,False,5345,False,False,unknown,6,3,0,0,unknown,True,0,6.777646593635117
2,admin.,single,secondary,False,812,False,True,unknown,6,4,0,0,unknown,True,0,6.368187186350492
3,admin.,married,secondary,False,105,False,False,unknown,6,4,0,0,unknown,True,0,7.055312843339752
2,management,married,tertiary,False,-190,False,True,unknown,6,8,0,0,unknown,True,0,6.794586580876499
5,housemaid,married,primary,False,625,False,True,unknown,6,1,0,0,unknown,True,0,6.7650389767805414
4,retired,married,unknown,False,293,False,False,unknown,6,1,0,0,unknown,True,0,6.559615237493242
5,retired,married,unknown,False,1033,False,False,unknown,6,1,0,0,unknown,True,0,7.089243155027514
4,blue-collar,married,secondary,False,1210,False,False,unknown,6,1,0,0,unknown,True,0,6.840546529288687
4,management,married,tertiary,False,64,False,False,unknown,6,1,0,0,unknown,True,0,6.373319789577012
