,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,numeric,numeric,numeric
549,20,49.0,8235,5,7,1955,1995,0.0,180,645,0,825,825,0,0,825,1,0,1,0,2,1,4,0,1963.0,2,720,140,50,0,0,0,0,0,6,2008,125000,RM,Pave,None,HLS,Inside,OldTown,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,IR1,AllPub,Gtl,TA,Gd,TA,TA,No,LwQ,Rec,TA,TA,Typ,None,RFn,TA,TA,None,MnPrv,1650,13,12
1068,60,80.0,9760,6,6,1964,1964,360.0,674,106,0,780,798,813,0,1611,1,0,1,1,4,1,7,0,1964.0,2,442,328,128,0,0,189,0,0,6,2008,167900,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,Reg,AllPub,Mod,TA,TA,TA,TA,Gd,GLQ,LwQ,TA,TA,Typ,None,RFn,TA,TA,None,None,2391,44,12
533,20,60.0,7200,5,7,1955,2007,0.0,0,0,0,0,827,0,0,827,0,0,1,0,2,1,5,1,1967.0,1,392,0,0,0,0,0,0,0,4,2010,107500,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Slab,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,None,None,None,None,None,Ex,TA,Mod,Po,Unf,TA,TA,None,None,827,3,12
833,60,44.0,9548,7,6,2003,2003,223.0,483,0,458,941,941,888,0,1829,1,0,2,1,3,1,7,1,2003.0,2,613,192,39,0,0,0,0,0,1,2010,237000,RL,Pave,None,Lvl,CulDSac,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,None,None,2770,7,13
10,190,50.0,7420,5,6,1939,1950,0.0,851,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1939.0,1,205,0,4,0,0,0,0,0,1,2008,118000,RL,Pave,None,Lvl,Corner,BrkSide,Artery,Artery,2fmCon,1.5Unf,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,TA,No,GLQ,Unf,Ex,TA,Typ,TA,RFn,Gd,TA,None,None,2068,58,11
1376,20,89.0,10991,8,5,2007,2007,80.0,0,0,1571,1571,1571,0,0,1571,0,0,2,0,3,1,7,1,2007.0,3,722,100,36,0,0,0,0,0,12,2007,239000,RL,Pave,None,HLS,Inside,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,New,Partial,IR1,AllPub,Gtl,Gd,TA,Gd,TA,Gd,Unf,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,None,None,3142,0,13
795,60,65.0,10832,7,5,1994,1996,0.0,0,0,712,712,1086,809,0,1895,0,0,2,1,3,1,7,1,1994.0,2,409,143,46,0,0,0,0,500,10,2008,194500,RL,Pave,None,Lvl,Corner,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,SBrkr,Attchd,Y,Shed,WD,Normal,IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,TA,Fin,TA,TA,None,None,2607,12,12
359,80,92.0,6930,5,4,1958,1958,120.0,300,294,468,1062,1352,0,0,1352,0,1,1,0,3,1,6,0,1958.0,1,288,168,0,294,0,0,0,0,7,2006,130000,RL,Pave,None,Lvl,Inside,ClearCr,Norm,Norm,1Fam,SLvl,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,CBlock,GasA,Y,FuseF,BuiltIn,Y,None,WD,Abnorml,IR1,AllPub,Gtl,TA,TA,TA,TA,Av,BLQ,Rec,Ex,Gd,Min2,None,Unf,TA,TA,None,None,2414,48,9
724,50,60.0,8172,4,6,1954,1972,0.0,0,0,941,941,997,473,0,1470,0,0,2,0,4,1,7,0,1958.0,1,548,0,0,0,0,156,0,0,5,2008,135000,RL,Pave,None,Lvl,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,TA,Typ,None,Unf,TA,TA,None,None,2411,36,10
1146,50,52.0,6240,5,6,1928,1950,0.0,0,0,1042,1042,1042,534,0,1576,0,0,1,0,3,1,8,1,1928.0,1,225,0,0,0,0,0,0,0,8,2006,149000,RM,Pave,None,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,Y,SBrkr,Detchd,Y,None,WD,Family,Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,TA,Typ,Gd,Unf,TA,TA,None,None,2618,56,11
862,190,75.0,11625,5,4,1965,1965,0.0,841,0,198,1039,1039,0,0,1039,1,0,1,1,3,1,6,0,1965.0,2,504,0,0,0,0,0,0,0,4,2010,131500,RL,Pave,None,Lvl,Inside,Sawyer,Norm,Norm,2fmCon,1Story,Hip,CompShg,Plywood,HdBoard,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,TA,Mn,BLQ,Unf,Ex,TA,Typ,None,Unf,TA,TA,None,None,2078,45,9
1265,120,34.0,4060,6,5,1998,1999,0.0,266,0,1139,1405,1337,0,0,1337,1,0,2,0,2,1,5,0,1998.0,2,511,144,68,0,0,0,0,0,8,2008,181000,RH,Pave,None,Lvl,Inside,NAmes,Norm,Norm,TwnhsE,1Story,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,COD,Abnorml,Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,None,Fin,TA,TA,None,None,2742,9,11
1089,160,24.0,2522,7,5,2004,2004,50.0,0,0,970,970,970,739,0,1709,0,0,2,0,3,1,7,0,2004.0,2,380,0,40,0,0,0,0,0,4,2006,137500,RM,Pave,None,Lvl,Inside,Edwards,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Maj1,None,Unf,TA,TA,None,None,2679,2,12
1225,60,60.0,15384,7,5,2004,2005,0.0,724,0,64,788,788,702,0,1490,1,0,2,1,3,1,8,1,2004.0,2,388,100,75,0,0,0,0,0,2,2008,184000,RL,Pave,None,Lvl,Inside,Gilbert,RRAn,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,IR1,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,None,None,2278,3,12
349,160,36.0,2448,7,5,2003,2004,106.0,573,0,191,764,764,862,0,1626,1,0,2,1,2,1,6,0,2003.0,2,474,0,27,0,0,0,0,0,10,2008,154000,RL,Pave,None,Lvl,Inside,NridgHt,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,Wd Shng,Stone,PConc,GasA,Y,SBrkr,BuiltIn,Y,None,WD,Normal,Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,None,RFn,TA,TA,None,None,2390,4,12
426,60,60.0,3378,7,8,1946,1992,0.0,0,0,651,651,707,682,0,1389,0,0,1,1,3,1,6,2,1947.0,1,240,0,0,126,0,0,0,0,9,2009,135000,RM,Pave,Grvl,HLS,Inside,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Detchd,P,None,WD,Normal,Reg,AllPub,Gtl,TA,Gd,TA,TA,No,Unf,Unf,Gd,TA,Typ,Gd,Unf,TA,TA,None,None,2040,17,15
1350,70,50.0,5250,8,5,1872,1987,0.0,259,0,425,684,938,1215,205,2358,0,0,2,0,4,1,8,0,0.0,0,0,0,54,20,0,0,0,0,12,2008,122000,RM,Pave,Pave,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,OthW,N,SBrkr,None,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,Gd,TA,Fa,No,LwQ,Unf,Fa,TA,Typ,None,None,None,None,None,None,2837,21,13
832,160,30.0,3180,7,5,2005,2005,0.0,0,0,600,600,520,600,80,1200,0,0,2,1,2,1,4,0,2005.0,2,480,0,166,0,0,0,0,0,6,2006,151000,FV,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,None,RFn,TA,TA,None,None,1720,1,12
65,60,70.0,9375,7,5,1997,1998,573.0,739,0,318,1057,1057,977,0,2034,1,0,2,1,3,1,8,0,1998.0,2,645,576,36,0,0,0,0,0,2,2009,219500,RL,Pave,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,None,RFn,TA,TA,None,GdPrv,3091,11,12
530,20,74.0,32668,6,3,1957,1975,0.0,1219,0,816,2035,2515,0,0,2515,1,0,3,0,4,2,9,2,1975.0,2,484,0,0,200,0,0,0,0,3,2007,200624,RL,Pave,None,Lvl,CulDSac,Crawfor,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Stone,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Alloca,IR1,AllPub,Gtl,Gd,TA,TA,TA,No,Rec,Unf,TA,TA,Maj1,TA,RFn,TA,TA,None,None,4550,32,9
1153,20,90.0,14115,6,7,1956,2004,0.0,296,547,230,1073,1811,0,0,1811,0,0,1,0,2,1,6,1,1956.0,2,470,0,0,280,0,0,0,0,7,2006,230000,RL,Pave,None,Lvl,Inside,Crawfor,Norm,Norm,1Fam,1Story,Gable,CompShg,Stone,Stone,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Abnorml,IR1,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,GLQ,Ex,Ex,Typ,Gd,Fin,TA,TA,None,None,2884,2,13
92,20,85.0,8500,5,3,1961,1961,203.0,600,0,635,1235,1235,0,0,1235,0,0,1,0,2,1,6,0,1961.0,2,480,0,0,0,0,0,0,0,12,2006,98600,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkCmn,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Abnorml,Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,TA,Typ,None,Unf,TA,TA,None,GdWo,2470,45,8
1011,50,115.0,21286,5,5,1948,1950,0.0,0,0,720,720,720,551,0,1271,0,0,2,0,4,1,7,1,1948.0,1,312,0,0,108,0,0,0,0,8,2008,135000,RL,Pave,None,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,TA,Typ,Gd,Unf,TA,TA,None,None,1991,58,10
1289,120,40.0,5664,8,5,2000,2000,0.0,1158,0,343,1501,1659,0,0,1659,1,0,2,0,2,1,5,1,2000.0,2,499,212,59,0,0,0,0,0,10,2009,278000,RL,Pave,None,Lvl,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Ex,Typ,Ex,Fin,TA,TA,None,None,3160,9,13
853,75,53.0,7128,7,5,1941,1950,0.0,364,0,554,918,918,728,0,1646,0,0,2,0,4,1,7,2,1941.0,1,240,0,0,0,0,126,0,0,8,2007,164000,RL,Pave,None,Lvl,Inside,Crawfor,Norm,Norm,1Fam,2.5Unf,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,Gd,TA,TA,No,Rec,Unf,Gd,TA,Typ,Gd,Unf,TA,TA,None,MnPrv,2564,57,12
1049,20,100.0,21750,5,4,1960,2006,75.0,0,0,0,0,1771,0,0,1771,0,0,1,0,3,1,9,1,1960.0,2,336,0,0,0,0,0,0,0,11,2009,115000,RL,Pave,None,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,Slab,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,Fa,None,None,None,None,None,TA,TA,Min1,TA,Unf,TA,TA,None,GdPrv,1771,3,9
360,60,78.0,12011,8,5,1998,1998,530.0,956,0,130,1086,1086,838,0,1924,1,0,2,1,3,1,7,1,1998.0,2,592,208,75,0,0,374,0,0,6,2006,280000,RL,Pave,None,Lvl,CulDSac,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,IR1,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,None,None,3010,8,13
963,160,24.0,2308,6,6,1976,1976,0.0,556,0,248,804,804,744,0,1548,1,0,2,1,3,1,7,1,1976.0,2,440,48,0,0,0,0,0,0,7,2007,155000,RL,Pave,None,Lvl,Corner,NPkVill,Norm,Norm,TwnhsE,2Story,Gable,CompShg,Plywood,Brk Cmn,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,Gd,TA,No,ALQ,Unf,TA,Gd,Typ,TA,Unf,TA,TA,None,None,2352,31,12
913,30,51.0,6120,5,7,1925,1950,0.0,489,0,279,768,1015,0,0,1015,0,0,1,0,3,1,6,0,1925.0,1,450,0,0,112,0,120,0,620,7,2006,88000,RM,Pave,None,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,N,SBrkr,Detchd,Y,Shed,WD,Abnorml,Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,TA,Min1,None,Unf,TA,TA,None,MnPrv,1783,56,12
1071,20,72.0,10152,5,5,1956,1956,120.0,586,0,462,1048,1048,0,0,1048,1,0,1,0,3,1,6,0,1956.0,1,286,0,20,0,0,192,0,0,6,2007,135000,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,TA,Typ,None,Unf,TA,TA,None,None,2096,51,10
585,50,51.0,6120,4,7,1935,1995,0.0,0,0,884,884,989,584,0,1573,0,0,1,0,3,1,6,0,1935.0,1,240,0,0,54,0,120,0,0,7,2009,133000,RM,Pave,None,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,AsbShng,AsbShng,None,BrkTil,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,Gd,Typ,None,Unf,TA,TA,None,None,2457,14,11
1433,30,60.0,10800,4,6,1927,2007,0.0,0,0,656,656,968,0,0,968,0,0,2,0,4,1,5,0,1928.0,1,216,0,0,0,0,0,0,0,8,2007,64500,RL,Pave,Grvl,Lvl,Inside,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,TA,Typ,None,Unf,Fa,Fa,None,None,1624,0,10
915,160,30.0,3000,6,5,2009,2009,76.0,294,0,318,612,612,612,0,1224,0,0,2,1,2,1,4,0,2009.0,2,528,0,234,0,0,0,0,0,6,2009,173733,FV,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Detchd,Y,None,New,Partial,Reg,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,None,RFn,TA,TA,None,None,1836,0,11
1201,20,71.0,9353,4,5,1970,1970,0.0,0,0,864,864,864,0,0,864,0,0,1,0,3,1,5,0,1972.0,1,280,0,0,0,0,0,0,0,7,2006,116050,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,SBrkr,Attchd,Y,Shed,Oth,Abnorml,Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,TA,Typ,None,Unf,TA,TA,None,None,1728,36,9
4,70,60.0,9550,7,5,1915,1970,0.0,216,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,1998.0,3,642,0,35,272,0,0,0,0,2,2006,140000,RL,Pave,None,Lvl,Corner,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Shng,None,BrkTil,GasA,Y,SBrkr,Detchd,Y,None,WD,Abnorml,IR1,AllPub,Gtl,TA,TA,TA,Gd,No,ALQ,Unf,Gd,Gd,Typ,Gd,Unf,TA,TA,None,None,2473,36,12
259,60,80.0,12435,7,5,2001,2001,172.0,361,0,602,963,963,829,0,1792,0,0,2,1,3,1,7,1,2001.0,2,564,0,96,0,245,0,0,0,5,2008,231500,RL,Pave,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,None,None,2755,7,12
93,30,80.0,13360,5,7,1921,2006,0.0,713,0,163,876,964,0,0,964,1,0,1,0,2,1,5,0,1921.0,2,432,0,0,44,0,0,0,0,8,2009,163500,RL,Pave,Grvl,HLS,Inside,Crawfor,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,IR1,AllPub,Gtl,TA,Gd,Gd,TA,No,ALQ,Unf,Ex,TA,Typ,None,Unf,TA,TA,None,None,1840,3,12
171,50,60.0,12358,5,6,1941,1950,0.0,360,0,360,720,854,0,528,1382,0,0,1,1,2,1,7,0,1991.0,2,660,237,0,0,0,0,0,0,5,2007,128500,RM,Pave,None,Lvl,Inside,OldTown,Feedr,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,IR1,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,TA,Typ,None,Unf,TA,TA,None,None,1574,57,11
960,160,24.0,2572,7,5,1999,1999,0.0,604,0,92,696,696,720,0,1416,1,0,2,1,3,1,6,0,1999.0,2,484,0,44,0,0,0,0,0,5,2010,155000,FV,Pave,None,Lvl,FR2,Somerst,Norm,Norm,Twnhs,2Story,Hip,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,ALQ,Unf,Ex,Gd,Typ,None,Unf,TA,TA,None,None,2112,11,12
